Type,Reference Nbr.,Status,Payment Date,Payment Period,Customer,Customer Name,Description,Payment Ref.,Payment Amount,Currency,Cash Account,Payment Method,Created On
Payment,000287,Closed,4/8/2026,04-2026,APPLIED,"Applied Engineering Services, Inc.",PayApp5 -  Applied Engineering,Ck#18905,"9,413.13",USD,CHECKING,CHECK,4/9/2026
Payment,000286,Closed,4/5/2026,04-2026,RADIAL,"Radial, Inc",PC-3959-0005 Radial Martinsville PayApp4 - PO-4500062487,ID:A232993313,"234,235.52",USD,CHECKING,CHECK,4/3/2026
Payment,000285,Closed,3/30/2026,03-2026,HILLSDALE,Hillsdale Holdings,PayApp1,7155170,"307,998.70",USD,CHECKING,CHECK,3/30/2026
Payment,000284,Closed,3/30/2026,03-2026,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Tremont PayApp 3 - RI-3620-0003,0868423899TC,"7,037.50",USD,CHECKING,CHECK,3/30/2026
Payment,000283,Closed,3/30/2026,03-2026,UNIQLO,Uniqlo USA LLC,Uniqlo PayApp 10 - RI-3729-0011,TRN: 0868965278TC,"108,900.21",USD,CHECKING,CHECK,3/30/2026
Payment,000282,Closed,3/27/2026,03-2026,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Pay 007 - Goodwill Bart,TRN: 0858009229TC,"4,004.10",USD,CHECKING,CHECK,3/27/2026
Payment,000281,Closed,3/27/2026,03-2026,EXOTEC,"Exotec North America, Inc.",Exotec PayApp 4 RI-3729-0017,TRN: 3502226085ES 03/26,"14,375.71",USD,CHECKING,CHECK,3/27/2026
Payment,000280,Closed,3/19/2026,03-2026,GPC,NAPA AUTO PARTS,GPC Hai Robotic PayApp 2,CK 0001439208,"228,076.70",USD,CHECKING,CHECK,3/20/2026
Payment,000279,Closed,3/11/2026,03-2026,ASPIRESL,Aspire at Saint Lucie,Aspire at St. Lucie,CK 1479,"6,304.00",USD,CHECKING,CHECK,3/11/2026
Payment,000278,Closed,3/11/2026,03-2026,ASPIRESL,Aspire at Saint Lucie,,CK 1457,"15,000.00",USD,CHECKING,CHECK,3/11/2026
Payment,000277,Closed,3/6/2026,03-2026,GOODWILL,"Goodwill Industries of Central Indiana, Llc",#RI-3620-0002,TRN: 0653173477TC,"21,112.50",USD,CHECKING,ACH PYMT,3/9/2026
