Task ID,Parent Task,Category,Priority,Task Name,Description,Status
1.1,1.1,Database Schema,P0 - Critical,Design Core Budget Schema,Create database tables for budget management,Parent Task
1.1.1,1.1,Database Schema,P0 - Critical,Create budgets table,Create budgets table with columns: id project_id name status created_at updated_at,Complete
1.1.2,1.1,Database Schema,P0 - Critical,Create budget_lines table,Create budget_lines table for individual budget line items,Complete
1.1.3,1.1,Database Schema,P0 - Critical,Create budget_views table,Create budget_views table for custom view configurations,Complete
1.1.4,1.1,Database Schema,P0 - Critical,Create budget_templates table,Create budget_templates table for reusable budget templates,Not Started
1.1.5,1.1,Database Schema,P0 - Critical,Create budget_snapshots table,Create budget_snapshots table for point-in-time captures,Complete
1.1.6,1.1,Database Schema,P0 - Critical,Create budget_changes table,Create budget_changes table for change tracking,Not Started
1.2,1.2,Database Schema,P0 - Critical,Create Budget Column Configuration System,Allow users to configure which columns appear in budget views,Parent Task
1.2.1,1.2,Database Schema,P0 - Critical,Create budget_view_columns junction table,Create junction table for budget view columns configuration,Complete
1.2.2,1.2,Database Schema,P0 - Critical,Support column ordering and visibility settings,Add support for column ordering and visibility preferences,Complete
1.2.3,1.2,Database Schema,P0 - Critical,Store column width preferences,Store column width preferences via display_order,Complete
1.2.4,1.2,Database Schema,P0 - Critical,Support calculated columns,Add support for calculated/computed columns,Complete
1.2.5,1.2,Database Schema,P0 - Critical,Support 19 core budget column types,Support Cost Code Description Original Budget Revised Budget etc,Complete
1.2.6,1.2,Database Schema,P0 - Critical,Support extended column types,Support Notes Tools by Product Line Contract Type Publisher Custom fields,Not Started
1.3,1.3,Database Schema,P0 - Critical,Add Cost Code Integration,Link budgets to cost codes and cost types,Parent Task
1.3.1,1.3,Database Schema,P0 - Critical,Create cost_codes table,Create cost_codes table if not exists,Complete
1.3.2,1.3,Database Schema,P0 - Critical,Create cost_types table,Create cost_types table if not exists,Complete
1.3.3,1.3,Database Schema,P0 - Critical,Add foreign keys to budget_lines,Add foreign key relationships to budget_lines,Complete
1.3.4,1.3,Database Schema,P0 - Critical,Support hierarchical cost code structure,Support multi-tier cost code hierarchy,Complete
1.3.5,1.3,Database Schema,P0 - Critical,Add WBS support,Add Work Breakdown Structure support,Not Started
2.1,2.1,API Development,P0 - Critical,Budget REST API,Create RESTful endpoints for budgets,Parent Task
2.1.1,2.1,API Development,P0 - Critical,GET /api/budgets,Create endpoint to list budgets,Not Started
2.1.2,2.1,API Development,P0 - Critical,GET /api/budgets/:id,Create endpoint to get budget details,Not Started
2.1.3,2.1,API Development,P0 - Critical,POST /api/budgets,Create endpoint to create budget,Not Started
2.1.4,2.1,API Development,P0 - Critical,PUT /api/budgets/:id,Create endpoint to update budget,Not Started
2.1.5,2.1,API Development,P0 - Critical,DELETE /api/budgets/:id,Create endpoint to delete budget,Not Started
2.1.6,2.1,API Development,P0 - Critical,GET /api/budgets/:id/lines,Create endpoint to get budget lines,Not Started
2.1.7,2.1,API Development,P0 - Critical,POST /api/budgets/:id/lines,Create endpoint to create budget line,Not Started
2.1.8,2.1,API Development,P0 - Critical,PUT /api/budgets/:id/lines/:lineId,Create endpoint to update line,Not Started
2.1.9,2.1,API Development,P0 - Critical,DELETE /api/budgets/:id/lines/:lineId,Create endpoint to delete line,Not Started
2.1.10,2.1,API Development,P0 - Critical,POST /api/budgets/:id/import,Create endpoint to import data,Not Started
2.1.11,2.1,API Development,P0 - Critical,GET /api/budgets/:id/export,Create endpoint to export data,Not Started
2.1.12,2.1,API Development,P0 - Critical,GET /api/budgets/:id/snapshots,Create endpoint to list snapshots,Not Started
2.1.13,2.1,API Development,P0 - Critical,POST /api/budgets/:id/lock,Create endpoint to lock budget,Not Started
2.1.14,2.1,API Development,P0 - Critical,POST /api/budgets/:id/unlock,Create endpoint to unlock budget,Not Started
2.2,2.2,API Development,P0 - Critical,Budget Views API,Endpoints for view configuration,Parent Task
