table,id,parent_id,project_id,contract_number,parent_title,parent_status,line_number,budget_code,normalized_budget_code,description,amount,reason,typed_candidate_ids,typed_candidate_labels,other_candidate_ids,other_candidate_labels,recommended_action
"purchase_order_sov_items","327cf11b-61c4-4b1c-8254-9b441a25f31f","02966cb1-7bd5-4821-aadc-de4489d086af","1008","000107","ALTANSPSS Survey at Niemann Ace Hardware will be performed i","Approved","1","022113","022113","Cost of Contracts- Subco","13500","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"purchase_order_sov_items","0f60c147-ddf7-4273-9c19-f5fdf3dd4919","0349a1c6-5c7b-4662-8d50-34755e4390a3","761","PO-5347-0002","Structural Engineer","Approved","1","50-5000","505000","Design","8000","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"purchase_order_sov_items","03f12301-dd16-488e-8630-3e7ce8449932","0349a1c6-5c7b-4662-8d50-34755e4390a3","761","PO-5347-0002","Structural Engineer","Approved","2","50-5000","505000","Pre-con","5805.65","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"purchase_order_sov_items","a5bd74bf-c467-409c-92b7-172eb3b6ca77","1231c481-84a7-479a-81a5-2bac1835283d","43","000073","Exterior wood siding for the north side of the Collective Bu","Complete","1","062000","062000","Cost of Contracts- Material","150","ambiguous_typed_matches","7586b589-e309-461a-9dee-e03826740740;f266f595-13d9-4ee1-89e7-855661949bf9;606fd471-37b1-492b-b0ce-03121a071e50","06-2000.M;06-2000.X;06-2000.S","27db75d4-64ea-448d-b48e-44e10fba7070","06-2000","Manual selection required: choose the specific cost type candidate."
"purchase_order_sov_items","927e2b8f-a70c-449d-bff0-602050ee339d","1231c481-84a7-479a-81a5-2bac1835283d","43","000073","Exterior wood siding for the north side of the Collective Bu","Complete","2","062000","062000","Cost of Contracts- Material","432.53","ambiguous_typed_matches","7586b589-e309-461a-9dee-e03826740740;f266f595-13d9-4ee1-89e7-855661949bf9;606fd471-37b1-492b-b0ce-03121a071e50","06-2000.M;06-2000.X;06-2000.S","27db75d4-64ea-448d-b48e-44e10fba7070","06-2000","Manual selection required: choose the specific cost type candidate."
"purchase_order_sov_items","7a04e19f-9350-4933-8aac-c02eaadc1f68","1231c481-84a7-479a-81a5-2bac1835283d","43","000073","Exterior wood siding for the north side of the Collective Bu","Complete","3","062000","062000","Cost of Contracts- Material","535.5","ambiguous_typed_matches","7586b589-e309-461a-9dee-e03826740740;f266f595-13d9-4ee1-89e7-855661949bf9;606fd471-37b1-492b-b0ce-03121a071e50","06-2000.M;06-2000.X;06-2000.S","27db75d4-64ea-448d-b48e-44e10fba7070","06-2000","Manual selection required: choose the specific cost type candidate."
"purchase_order_sov_items","8bdf1853-d44a-4596-b218-fd0614dc1388","1915e9b0-3524-461e-ab25-4d64bf81ab1e","767","PO-1775827229731","Test Purchase Order - QA","Approved","1","","","Purchase Order Items","2500000000","blank_code_nonzero_amount","","","","","Source data repair required: assign a project budget code before this financial amount can be trusted."
"purchase_order_sov_items","3e5eac49-a2e6-4f3c-aa04-33184632ee00","2026b0d8-d4f5-4ab9-9f99-360783c86fe8","31","000064","Provide and deliver to job site the following materials:  He","Complete","1","211313","211313","Cost of Contracts- Subco","266092.02","ambiguous_typed_matches","5614a895-0fcc-4b49-b713-7f3c9af02d99;28487d72-7489-4529-b30e-bb02d639382a;5958c2f5-11a1-4694-9121-dd4d64f4a52b;304ea55e-827a-484f-8d5a-4885a170bf32","21-1313.L;21-1313.X;21-1313.S;21-1313.M","a37d3f1e-4ea1-48f2-9e62-06d06c422449","21-1313","Manual selection required: choose the specific cost type candidate."
"purchase_order_sov_items","d6339738-044b-4cec-acfe-555bd985b64e","2026b0d8-d4f5-4ab9-9f99-360783c86fe8","31","000064","Provide and deliver to job site the following materials:  He","Complete","2","211313","211313","Cost of Contracts- Subco","175762.38","ambiguous_typed_matches","5614a895-0fcc-4b49-b713-7f3c9af02d99;28487d72-7489-4529-b30e-bb02d639382a;5958c2f5-11a1-4694-9121-dd4d64f4a52b;304ea55e-827a-484f-8d5a-4885a170bf32","21-1313.L;21-1313.X;21-1313.S;21-1313.M","a37d3f1e-4ea1-48f2-9e62-06d06c422449","21-1313","Manual selection required: choose the specific cost type candidate."
"purchase_order_sov_items","44379a18-04e1-403c-9f5f-2a627f9d24cc","2026b0d8-d4f5-4ab9-9f99-360783c86fe8","31","000064","Provide and deliver to job site the following materials:  He","Complete","3","211313","211313","Cost of Contracts- Material","20459.23","ambiguous_typed_matches","5614a895-0fcc-4b49-b713-7f3c9af02d99;28487d72-7489-4529-b30e-bb02d639382a;5958c2f5-11a1-4694-9121-dd4d64f4a52b;304ea55e-827a-484f-8d5a-4885a170bf32","21-1313.L;21-1313.X;21-1313.S;21-1313.M","a37d3f1e-4ea1-48f2-9e62-06d06c422449","21-1313","Manual selection required: choose the specific cost type candidate."
"purchase_order_sov_items","7d1f656a-a8f5-44ad-8b56-acbe46288772","2026b0d8-d4f5-4ab9-9f99-360783c86fe8","31","000064","Provide and deliver to job site the following materials:  He","Complete","4","211313","211313","Cost of Contracts- Material","177.73","ambiguous_typed_matches","5614a895-0fcc-4b49-b713-7f3c9af02d99;28487d72-7489-4529-b30e-bb02d639382a;5958c2f5-11a1-4694-9121-dd4d64f4a52b;304ea55e-827a-484f-8d5a-4885a170bf32","21-1313.L;21-1313.X;21-1313.S;21-1313.M","a37d3f1e-4ea1-48f2-9e62-06d06c422449","21-1313","Manual selection required: choose the specific cost type candidate."
"purchase_order_sov_items","5dc03333-8703-4ab3-862e-701919b5cd90","2026b0d8-d4f5-4ab9-9f99-360783c86fe8","31","000064","Provide and deliver to job site the following materials:  He","Complete","5","214000","214000","Cost of Contracts- Subco","4879.68","ambiguous_typed_matches","e1954745-3b9c-4f5b-ba32-5ca001843239;e7052d62-4443-4e7d-815d-848e9b0f5b34","21-4000.L;21-4000.S","4a229d4f-6996-4f6e-a874-3e8342376ac3","21-4000","Manual selection required: choose the specific cost type candidate."
"purchase_order_sov_items","53e69381-b8fe-400e-a8ba-91ce9d66bcbe","28f8f65d-a4ac-42fb-9ffd-c660a688659f","31","000072","General Notes - Scope to be completed in full compliance wit","Complete","1","274000","274000","Cost of Contracts- Subco","10331.96","ambiguous_typed_matches","d5702b80-cc38-4205-a013-e1f2290db363;c130220a-be0c-47b3-be43-41ea2cb8d951","27-4000.L;27-4000.S","2883ccde-52b8-4c8e-adc3-dd5e3a06a86e","27-4000","Manual selection required: choose the specific cost type candidate."
"purchase_order_sov_items","ec1fddec-aad2-4a9b-8ae5-318d150284bd","2d4f4263-6469-431d-b6a3-3f905919f2a2","767","PO-1775829268393","Test Purchase Order - QA Pass 2","Draft","1","","","Purchase Order Items","2500000000","blank_code_nonzero_amount","","","","","Source data repair required: assign a project budget code before this financial amount can be trusted."
"purchase_order_sov_items","930299b4-6766-4112-812a-a348e2fe1366","3110174d-923f-4066-9d2a-8f46c12e5b11","761","000086","Inclusions - Furnish (4) 50-ton packaged RTUs - Unit Model #","Complete","1","237000","237000","Cost of Contracts- Subco","530000","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"purchase_order_sov_items","66e0a215-cd41-4f97-b67f-005ef2078c56","316640d6-c78a-4530-a678-8eb29cc80bf5","31","000068","General Notes - All work shall be performed in accordance wi","Approved","1","261000","261000","Cost of Contracts- Subco","1110.39","ambiguous_typed_matches","1235eae8-aa0d-4588-8a09-704b98f0861d;470a7b44-1a25-4e42-a3f3-1c52bfa630c8","26-1000.L;26-1000.S","cccd6650-7148-49f7-9254-49ada13fdd76","26-1000","Manual selection required: choose the specific cost type candidate."
"purchase_order_sov_items","2a5b3f80-5118-44b2-8c28-417e80b785c6","316640d6-c78a-4530-a678-8eb29cc80bf5","31","000068","General Notes - All work shall be performed in accordance wi","Approved","2","261000","261000","Cost of Contracts- Subco","1000","ambiguous_typed_matches","1235eae8-aa0d-4588-8a09-704b98f0861d;470a7b44-1a25-4e42-a3f3-1c52bfa630c8","26-1000.L;26-1000.S","cccd6650-7148-49f7-9254-49ada13fdd76","26-1000","Manual selection required: choose the specific cost type candidate."
"purchase_order_sov_items","1953ad54-969f-45e2-9d6a-25d6ead53f97","3d3a4435-8af3-4b7b-9b1e-4064c13a4fcb","43","000084","Price includes  - (32) 1"" x 4"" x 16' Kebony Boards - Flat Be","Complete","1","062000","062000","Cost of Contracts- Subco","3556.88","ambiguous_typed_matches","7586b589-e309-461a-9dee-e03826740740;f266f595-13d9-4ee1-89e7-855661949bf9;606fd471-37b1-492b-b0ce-03121a071e50","06-2000.M;06-2000.X;06-2000.S","27db75d4-64ea-448d-b48e-44e10fba7070","06-2000","Manual selection required: choose the specific cost type candidate."
"purchase_order_sov_items","449f0609-bcdb-4ae5-8bb4-c5e81ea9365b","45e19bed-66f5-4bfa-a1cc-18fa13dcde53","761","000076","Structural engineering services to analyze existing roof fra","Complete","1","505000","505000","Cost of Contracts- Other","5805.65","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"purchase_order_sov_items","e8d7176e-b50d-472f-b12b-0d0b32239f08","45e19bed-66f5-4bfa-a1cc-18fa13dcde53","761","000076","Structural engineering services to analyze existing roof fra","Complete","2","505000","505000","Cost of Contracts- Other","8000","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"purchase_order_sov_items","0ba20c26-1a65-42d0-9d1a-13c2a5e646e0","45e19bed-66f5-4bfa-a1cc-18fa13dcde53","761","000076","Structural engineering services to analyze existing roof fra","Complete","3","505000","505000","Cost of Contracts- Subco","3500","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"purchase_order_sov_items","7effc68f-10dc-4c3a-8193-bd2367c1555d","46caec56-edc7-422a-a248-1ae2c4884328","879","000091","Provide and deliver to job site the following materials: Hea","Approved","1","211313","211313","Cost of Contracts- Subco","34225.51","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
