project_number,name,phase,jp_project_id,app_project_id,jp_commitments,jp_sov_lines,app_active_commitments,to_rebuild,to_create,current_unmapped_in_app,integrity_failures,unresolved_code_lines,unresolved_type_lines,acumatica_dupes,acumatica_only_review,error
26-109,Goodwill Macomb,Current,8143,868,8,12,8,0,8,0,0,0,0,8,0,
25-127,Ulta Beauty Fresno,Current,5347,761,9,43,7,4,5,0,0,0,0,1,2,
26-108,Goodwill Galesburg,Current,8126,869,6,14,6,0,6,0,0,0,0,6,0,
26-110,Goodwill Peru,Current,8184,867,1,1,0,0,1,0,0,0,0,0,0,
25-126,Vermillion Rise Warehouse,Current,5296,67,30,95,14,0,30,0,0,0,0,7,7,
26-106,Goodwill Washington,Current,8105,870,12,30,13,0,12,0,0,0,0,9,4,
26-105,Goodwill Pioneer PKWY,Current,7654,762,9,24,0,0,9,0,0,0,0,0,0,
26-111,Goodwill Morris,Current,8208,866,0,0,0,0,0,0,0,0,0,0,0,
26-123,Playmakers,Current,9299,1067,5,25,1,0,5,0,0,0,0,1,0,
25-108,Goodwill Tremont,Current,3620,25108,9,15,9,0,9,0,0,0,0,4,5,
24-115,Westfield Collective,Current,2403,43,46,274,45,2,44,0,0,0,0,18,25,
26-113,Goodwill Allisonville Rd IN,Current,8189,754,22,74,22,22,0,0,0,0,0,0,0,
26-112,McLane Jazz - UT,Current,8509,879,3,7,4,0,3,0,0,0,0,2,2,
26-114,Goodwill Brookville Road,Current,8262,877,23,129,0,0,23,0,0,0,0,0,0,
26-107,"Goodwill Canton, IL",Current,8109,865,7,11,7,0,7,0,0,0,0,2,5,
26-115,Vargo Greenwood Permitting,Current,8290,1027,0,0,0,0,0,0,0,0,0,0,0,
25-125,Goodwill Noblesville,Current,5092,25125,18,26,16,16,2,0,0,0,0,0,0,
26-119,Union Collective,Current,8628,1009,5,21,6,1,4,0,0,0,0,5,0,
26-120,NEXCOM SEDC,Current,8840,1014,0,0,0,0,0,0,0,0,0,0,0,
26-117,Superior Beverae Exotec ,Current,8862,178,3,3,2,0,3,0,0,0,0,2,0,
26-118,Champaign Ace Addition,Current,8530,1008,3,6,4,0,3,0,0,0,0,4,0,
26-102,Goodwill Commons,Current,6669,764,8,9,10,0,8,0,0,0,0,8,2,
26-103,Exol Wilmer,Current,7487,760,3,4,6,2,1,0,0,0,0,4,0,
25-120,GPC Hai Robotic,Current,4493,795,4,18,5,0,4,0,0,0,0,1,4,
25-119,Goodwill- Decatur,Current,4389,840,1,5,2,0,1,0,0,0,0,1,1,
25-109,Uniqlo Phillipsburg NJ,Current,3729,31,8,31,11,0,8,0,0,0,0,4,7,
26-116,Exol Morrisville,Current,8344,876,18,31,3,3,15,0,0,0,0,0,0,
