documentId,annotationId,annotationNumber,status,authorName,replyCount,lastUpdatedIso,preview
/876/invoicing/subcontractor/8094,jcSlW9f2agdVdU1fBESQ,1,Open,Brandon Clymer,0,2026-07-07T13:59:53.967Z,{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} where is this invocie coming from? I don't see a commitment that it is tied to.
/876/invoices,2xJds94DkNTUXNLCCf3J,5,Open,Brandon Clymer,0,2026-07-07T13:55:40.052Z,"You shouldn't be able to have multiple billing periods open at one time, also where did these bililng periods even come from. There should also always be a due date in a biling period. {{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}}"
/,YWr5qLC32hiadN2MRrRo,1,Open,Test1 Account,1,2026-07-07T13:36:32.550Z,Codex QA comment for annotation verification
/876/rfis/new,HwqyOnAhhxOpWoCc9UoH,3,Open,Megan Harrison,0,2026-07-06T19:13:41.386Z,RFI manager and assigness should only show people who have been added to the project directory.
/876/drawings/viewer/297af29a-f327-464c-91d2-2ea9d335a99b,mzeIXJIbUXkCvPm6HV7u,1,Open,Megan Harrison,0,2026-07-06T17:30:21.922Z,testing
/876/change-events/927f077e-3883-441c-b275-58b55a4f9db9,U6fxfbb77xRR2TrgzHRX,2,Resolved,Brandon Clymer,0,2026-07-04T13:51:34.265Z,{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} Financial markup's are showing up.
/876/change-events/927f077e-3883-441c-b275-58b55a4f9db9,eCpddj6XaVDdsf6dTI5j,3,Resolved,Brandon Clymer,0,2026-07-04T13:50:43.209Z,"Columns aren't lining up, look at qty and unit cost, the values below are not under it. {{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}}"
/876/budget,HLhOudnXEOEgzPYS8sH7,1,Resolved,Brandon Clymer,0,2026-07-04T03:09:19.357Z,{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} Should be able to export as PDF as well.
/876/budget,5ArAw9wJFEUfOFo4hVfl,9,Resolved,Brandon Clymer,0,2026-07-04T03:05:31.075Z,{{8e0a5ed8-750b-49f1-9aa6-bbc01f634074}} when I click this committed costs nothing shows up.
/876/change-orders/commitment/aa35f3c3-5ec0-4568-b126-f8671b4791cc,iACw885errh4cBfTis79,3,Resolved,Brandon Clymer,0,2026-07-04T02:57:47.588Z,"{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} This isn't even right if we were doing mark up, the calculations aren't there."
/876/change-orders/commitment/aa35f3c3-5ec0-4568-b126-f8671b4791cc,VI5i1AYibilbjFB1GUgS,6,Resolved,Brandon Clymer,1,2026-07-04T02:23:03.342Z,"{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} where is this populating from? CO CCO, Change Order Commitment Change Order?"
/876/change-orders/commitment/aa35f3c3-5ec0-4568-b126-f8671b4791cc,YSUXb7ciZeVdw4OnN9su,5,Open,Brandon Clymer,1,2026-07-04T02:14:42.405Z,"{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} date is wrong, I approved it today, June 30th, 2026, requested can't come after created."
/meetings/01KVTCKJXEWVBTFFVAK956WS9B,zGRdb0EQJiiqZX73lOuk,2,Resolved,Brandon Clymer,0,2026-07-02T21:40:14.064Z,@Megan Harrison you have tasks and action items. What is the difference?
/meetings/01KVTCKJXEWVBTFFVAK956WS9B,HaeW4uWMDxbvdxyh8ht1,1,Resolved,Brandon Clymer,0,2026-07-02T21:31:29.836Z,"{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} what is this view file, this is just a bunch of text. not needed."
/876/commitments,7WjyELRwZZClAMSjZcL4,1,Resolved,Brandon Clymer,1,2026-07-02T21:29:42.675Z,"{{8e0a5ed8-750b-49f1-9aa6-bbc01f634074}} delete subcontracts, they are the same as commitments."
/876/change-orders/commitment/aa35f3c3-5ec0-4568-b126-f8671b4791cc,j6HqRSKobFDhjexI8XDo,1,Resolved,Brandon Clymer,1,2026-07-02T21:10:33.317Z,{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} commitment change order shouldn't have the mark up on there that we are putting from the prime contract.
/876/change-orders/commitment/aa35f3c3-5ec0-4568-b126-f8671b4791cc,w33evEzq5iaCVM5ub0AH,4,Resolved,Brandon Clymer,1,2026-07-02T21:08:59.108Z,I shouldn't be able to go in and add a line item to a CO that is in the approved status. {{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}}
/876/budget,3J6DQ553W2DCRh1qDrk2,10,Open,Brandon Clymer,0,2026-07-01T04:52:47.326Z,{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} The actual title of the cost code should appear. {{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} Get your mother fucking nutrition bull shit email off my fucking software.
/876/budget,pE1dpiYQKJ8wj7gWP7oG,8,Open,Brandon Clymer,0,2026-07-01T04:45:17.311Z,"{{8e0a5ed8-750b-49f1-9aa6-bbc01f634074}} Amount is wrong. Also when you click on the acttual number 700 to pull up the CO, nothing comes up. So the tables don't actually have a linked relationship."
/876/prime-contracts/6d90f64a-d9e2-4cb7-9aee-389dda0c9f4f,KkglsL6FcLcY2EZ698YK,6,Open,Brandon Clymer,0,2026-07-01T04:39:21.640Z,Page should look like this from procore. {{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} BDRH7bsaj7BTl6BL6Agd.png
/876/prime-contracts/6d90f64a-d9e2-4cb7-9aee-389dda0c9f4f,BemQJ6Z92RLfNIJyU06R,5,Open,Brandon Clymer,0,2026-07-01T04:37:49.416Z,"{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} I should be able to create a PCCO and then when I go into that page I can add different PCO's. So you may have one PCCO that will have PCO 2 PCO 7 PCO 8 or whatever, or you may just have one PCO."
/876/prime-contracts/6d90f64a-d9e2-4cb7-9aee-389dda0c9f4f,7dROBiqu5jCrIPxiPv7J,4,Open,Brandon Clymer,0,2026-07-01T04:36:37.323Z,{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} I pressed the promote PCO button and nothing happened.
/876/change-events,RTVGF9pwhuTuQ88KrWcx,3,Open,Brandon Clymer,1,2026-07-01T04:34:03.853Z,{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} What is all this? Doesn't make any sense.
/876/prime-contracts/6d90f64a-d9e2-4cb7-9aee-389dda0c9f4f/change-orders/pcos/04e484af-457e-4e39-ad59-8515da5e3dde,moYOT1sbVjHZMxZWoV2c,2,Open,Brandon Clymer,0,2026-07-01T04:33:50.119Z,"{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} It won't let me change the status, there should be a edit button up there I can click then I can change the status and other information."
/876/prime-contracts/6d90f64a-d9e2-4cb7-9aee-389dda0c9f4f,Bp4DtKb01j2veWdfrKu5,3,Open,Brandon Clymer,0,2026-07-01T04:32:55.779Z,{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} this should just say PCO
/876/prime-contracts/6d90f64a-d9e2-4cb7-9aee-389dda0c9f4f/change-orders/pcos/04e484af-457e-4e39-ad59-8515da5e3dde,814rJXXme9xPSEcFgZUr,1,Open,Brandon Clymer,0,2026-07-01T04:31:45.038Z,{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} I should be able to export this as a PDF. Kty0umqekgDaZhPHggwI.png
/876/budget,q51Vrmnvd38gUwEpuYwu,7,Open,Brandon Clymer,0,2026-07-01T04:29:01.335Z,{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} approved CO's not showing up.
/876/budget,LLPyppG9K1ZeJDPDoJqE,6,Open,Brandon Clymer,0,2026-07-01T04:26:53.977Z,{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} title not showing.
/876/prime-contracts/6d90f64a-d9e2-4cb7-9aee-389dda0c9f4f,z3yRIdAmfy9kFkHFRsQO,2,Open,Brandon Clymer,0,2026-07-01T04:25:59.553Z,{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} I should not be able to edit this when the prime is approved and has invoices alreayd in it processed.
/876/prime-contracts/6d90f64a-d9e2-4cb7-9aee-389dda0c9f4f,d6WukFFgmKhoGO3yXWsc,1,Open,Brandon Clymer,0,2026-07-01T04:24:16.124Z,{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} this is showing zero invoices and zero payments made.
/876/prime-contracts,WTj8sA74W9KGBlNrBGT4,1,Open,Brandon Clymer,0,2026-07-01T04:23:07.823Z,"{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} this says invoiced to date is zero, which isn't correct. Along with paymets recieved."
/876/invoicing/212,zlyynwXGmOq5WwOH2gRh,1,Open,Brandon Clymer,0,2026-07-01T04:21:44.773Z,"{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} why is this showing submitted, and it wont let me change the status to approved."
/876/invoicing/218,mPfcWQmWABZoYqGAu1u9,1,Open,Brandon Clymer,0,2026-07-01T04:20:07.500Z,"{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} This balance to finish isn't right. The contract was for 200k, how is this saying it is billed in full?"
/876/invoices,1xjWAFEtFkPE3lmgaiNf,4,Open,Brandon Clymer,0,2026-07-01T04:12:33.339Z,"{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} a billing period has to have a due date, it can't be left blank like below."
/876/invoices,5IZivi82yPT17an8M5xv,3,Open,Brandon Clymer,0,2026-07-01T04:12:06.601Z,{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} it wont let me click and open this.
/876/invoices,SPF0wblvu312hXL7Nr7A,2,Open,Brandon Clymer,0,2026-07-01T04:11:10.428Z,"{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} you should not be able to have multiple billing periods open at once, when new one is opened the prvious one must be closed."
/876/invoices,CUor64ioaJ7JIO8tugR7,1,Open,Brandon Clymer,0,2026-07-01T04:09:15.175Z,{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} I should be able to click here and change the status.
/876/invoicing/subcontractor/8093,GE4j1cpKDZON5NrYzn9A,2,Open,Brandon Clymer,0,2026-07-01T04:06:59.901Z,{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} it wont let me change the status.
