project_number,name,app_project_id,jp_project_id,jp_commitments,rebuild,adopt,adopt_with_billing,create,acu_only,acu_only_with_billing,acu_only_testdata,integrity_fail,error
26-109,Goodwill Macomb,868,8143,8,0,7,0,1,1,0,0,0,
25-127,Ulta Beauty Fresno,761,5347,9,4,0,0,5,3,0,0,0,
26-108,Goodwill Galesburg,869,8126,6,0,5,0,1,1,0,0,0,
26-110,Goodwill Peru,867,8184,1,1,0,0,0,0,0,0,0,
26-106,Goodwill Washington,870,8105,12,0,6,0,6,7,0,0,0,
25-126,Vermillion Rise Warehouse,67,5296,30,0,2,0,28,12,2,3,0,
26-105,Goodwill Pioneer PKWY,762,7654,9,9,0,0,0,0,0,0,0,
26-111,Goodwill Morris,866,8208,0,0,0,0,0,0,0,0,0,
26-123,Playmakers,1067,9299,5,0,1,0,4,0,0,0,0,
25-108,Goodwill Tremont,25108,3620,9,0,3,0,6,6,0,0,0,
24-115,Westfield Collective,43,2403,46,0,10,2,36,35,13,0,0,
26-113,Goodwill Allisonville Rd IN,754,8189,22,22,0,0,0,0,0,0,0,
26-112,McLane Jazz - UT,879,8509,3,0,2,1,1,2,0,0,0,
26-114,Goodwill Brookville Road,877,8262,23,23,0,0,0,0,0,0,0,
26-107,"Goodwill Canton, IL",865,8109,7,0,2,0,5,5,1,0,0,
26-115,Vargo Greenwood Permitting,1027,8290,0,0,0,0,0,0,0,0,0,
25-125,Goodwill Noblesville,25125,5092,18,18,0,0,0,0,0,0,0,
26-119,Union Collective,1009,8628,5,1,3,0,1,2,0,0,0,
26-120,NEXCOM SEDC,1014,8840,0,0,0,0,0,0,0,0,0,
26-117,Superior Beverae Exotec ,178,8862,3,0,1,0,2,1,0,0,0,
26-118,Champaign Ace Addition,1008,8530,3,0,1,1,2,3,0,0,0,
26-102,Goodwill Commons,764,6669,8,0,6,1,2,4,1,0,0,
26-103,Exol Wilmer,760,7487,3,2,1,0,0,3,0,0,0,
25-120,GPC Hai Robotic,795,4493,4,0,1,0,3,4,1,0,0,
25-119,Goodwill- Decatur,840,4389,1,0,0,0,1,2,0,0,0,
25-109,Uniqlo Phillipsburg NJ,31,3729,8,0,2,0,6,9,1,0,0,
26-116,Exol Morrisville,876,8344,18,18,0,0,0,0,0,0,0,
