invoice_id,invoice_number,status,commitment,vendor,amount,bill_description
94,001956,MOVED,SC-000217,DEEM,13500,"SC2603-0004 PayApp1 Goodwill Bloomington"
95,001957,MOVED,SC-000217,DEEM,59400,"SC-2603-0004 PayApp2 Goodwill Bloomington"
96,001964,MOVED,SC-000224,BLAKLEY,26190,"SC-2603-0017 PayApp1 Goodwill Bloomington"
100,002030,MOVED,SC-000217,DEEM,112612.5,"SC-2603-0004 PayApp3 Goodwill Bloomington"
140,002519,MOVED,SC-000151,INTCON,1935,"Goodwill Bloomington Building Interior & Exterior Demo PayApp5"
145,002542,MOVED,SC-000217,DEEM,13629.46,"SC-2603-0004 PayApp5 Goodwill Bloomington"
146,002544,MOVED,SC-000151,INTCON,810,"Goodwill Bloomington Building Interior & Exterior Demo PayApp6"
170,002726,MOVED,SC-000151,INTCON,215,"Goodwill Bloomington Building Interior & Exterior Demo PayApp5 - Retainage"
171,002727,MOVED,SC-000151,INTCON,90,"Goodwill Bloomington Building Interior & Exterior Demo PayApp6 - Retainage"
173,002729,MOVED,SC-000217,DEEM,11947.86,"SC-2603-0004 PayApp7 Goodwill Bloomington"
195,002881,MOVED,SC-000217,DEEM,62.06,"SC-2603-0004 PayApp6 Goodwill Bloomington"
196,002882,MOVED,SC-000217,DEEM,12512.5,"SC-2603-0004 PayApp3 Goodwill Bloomington"
197,002883,MOVED,SC-000217,DEEM,3677.5,"SC-2603-0004 PayApp4 Goodwill Bloomington"
198,002884,MOVED,SC-000217,DEEM,1327.53,"SC-2603-0004 PayApp7 Goodwill Bloomington"
199,002885,MOVED,SC-000217,DEEM,1500,"SC2603-0004 PayApp1 Goodwill Bloomington"
200,002886,MOVED,SC-000217,DEEM,6600,"SC-2603-0004 PayApp2 Goodwill Bloomington"
202,002887,MOVED,SC-000217,DEEM,1514.39,"SC-2603-0004 PayApp5 Goodwill Bloomington"
203,002888,MOVED,SC-000222,MCCURDY,2578.5,""
204,002889,MOVED,SC-000251,SIEMENS,174.96,"PI-2603-0126"
207,002894,MOVED,SC-000302,CENTRALSEC,4458.63,""
227,002967,MOVED,SC-000222,MCCURDY,286.5,"SC-2603-0007 Goodwill Bloomington"
249,002992,FLAGGED_ON_SHELL,SC-000316,UNIREN,63.93,"250343840-004 - Temporary Fence - Goodwill Bloomington"
250,002993,FLAGGED_ON_SHELL,SC-000316,UNIREN,63.93,"250343840-005 - Temporary Fence - Goodwill Bloomington"
288,003054,MOVED,SC-000251,SIEMENS,1412.92,"SC-2603-0014 Goodwill Bloomington"
417,003185,MOVED,SC-000224,BLAKLEY,2910,"SC-2603-0017 PayApp1 Goodwill Bloomington"
437,003201,MOVED,SC-000302,CENTRALSEC,495.4,"SC-2603-0028 002894 GW Bloomington"
722,002165,MOVED,SC-000251,SIEMENS,19613.7,"SC-2603-0014 Goodwill Bloomington"
878,003006,MOVED,SC-000251,SIEMENS,12716.23,"SC-2603-0014 Goodwill Bloomington"
1011,002728,MOVED,SC-000251,SIEMENS,2179.3,"SC-2603-0014 Goodwill Bloomington - Retainage"
