issue_number,feedback_item_id,created_at,inbox_section,inbox_status,severity,category,tool,submitted_from_path,submitted_from_url,page_title,title,description,github_state_from_db,status_summary,proof_bucket,next_action,screenshot_path,evidence_label,evidence_url,github_issue_url,velt_comment_url,attachment_urls
596,8a15c79e-2f7e-4837-b71f-ef47be90dc18,2026-07-01T03:51:09.763895+00:00,Not marked verified,in_progress,medium,,Commitments,/876/commitments/370ccdd2-4f9e-404a-84ec-21c4f2403658,http://localhost:3001/876/commitments/370ccdd2-4f9e-404a-84ec-21c4f2403658,000109 — 000109 - Project - Exol Morrisville,PDF export doesn't work.,PDF export doesn't work.,open,Feedback: in_progress; Audit: not fixed; GitHub: OPEN/REOPENED,Not fixed,Move to fix loop or reopen; verify exact named route after repair.,/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/commitments/commitment-detail-playwright-current.png,Current audit notes,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/596,https://projects.alleatogroup.com/876/commitments/370ccdd2-4f9e-404a-84ec-21c4f2403658?scommentId=gxCwrX82Ms38iZtEz3U6,https://firebasestorage.googleapis.com/v0/b/snipply-sdk-prod-test/o/FrgDvrLSN1kXy31AiIur%2Forganizations%2F141ab3a12d44492b6b8df4843768f45a%2Fdocs%2F8130086873394696%2Fcomment%2FgxCwrX82Ms38iZtEz3U6%2F933150_0NYPXmxSC91iOZt6PF09.png?alt=media&token=dbba3fd8-50bf-4e81-8891-4e1f82e9799c
594,526cdb7c-4ca2-4e9a-800e-f62303dc4c2a,2026-07-01T03:51:08.187164+00:00,Not marked verified,resolved,medium,,Subcontractor Invoicing,/876/invoicing/subcontractor/8092,http://localhost:3001/876/invoicing/subcontractor/8092,Alleato AI - Project Management,"when I exported the invoice it isn't showing correctly, it should match the export shown in Procore/Job Planner. Invoice page should look like procore screen s...","when I exported the invoice it isn't showing correctly, it should match the export shown in Procore/Job Planner. Invoice page should look like procore screen shot. 24-102-Wesleyan_Office-2-Invoice_2-2026-07-01.pdf Exported PDF should look like the attachment.",open,Feedback: resolved; Audit: unproven; GitHub: open state in export; detail/PDF route partially proven,Needs verification,"Run one focused route proof for the missing behavior, not a full retest.",/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/invoicing-subcontractor/invoicing-subcontractor-detail-current.png,Invoice route evidence,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/594,https://projects.alleatogroup.com/876/invoicing/subcontractor/8092?scommentId=p2StcVU4PG1f8wBYIwkJ,https://firebasestorage.googleapis.com/v0/b/snipply-sdk-prod-test/o/FrgDvrLSN1kXy31AiIur%2Forganizations%2F141ab3a12d44492b6b8df4843768f45a%2Fdocs%2F3385234828672546%2Fcomment%2Fp2StcVU4PG1f8wBYIwkJ%2F894014_mUPIXCq23ReWyeYl3R2w.png?alt=media&token=40464a9a-afa7-43a2-946f-c4e4a3ce7b6a https://firebasestorage.googleapis.com/v0/b/snipply-sdk-prod-test/o/FrgDvrLSN1kXy31AiIur%2Forganizations%2F141ab3a12d44492b6b8df4843768f45a%2Fdocs%2F3385234828672546%2Fcomment%2Fp2StcVU4PG1f8wBYIwkJ%2F788318_4HDYShWxMlwz4XrTT3VA.png?alt=media&token=8c7cebb9-6371-4267-b4a1-83ccf292a47d https://firebasestorage.googleapis.com/v0/b/snipply-sdk-prod-test/o/FrgDvrLSN1kXy31AiIur%2Forganizations%2F141ab3a12d44492b6b8df4843768f45a%2Fdocs%2F3385234828672546%2Fcomment%2Fp2StcVU4PG1f8wBYIwkJ%2F947643_24-102-Wesleyan_Office-2-Invoice_2-2026-07-01.pdf?alt=media&token=8cea9936-72dd-4b73-8ff3-bdebfa1baa1a
591,d00258a4-be04-4882-8813-8e73feeba878,2026-07-01T03:42:13.598714+00:00,Not marked verified,resolved,medium,,Commitment Change Orders,/876/change-orders/commitment/aa35f3c3-5ec0-4568-b126-f8671b4791cc,http://localhost:3001/876/change-orders/commitment/aa35f3c3-5ec0-4568-b126-f8671b4791cc,Alleato AI - Project Management,commitment change order shouldn't have the mark up on there that we are putting from the prime contract.,commitment change order shouldn't have the mark up on there that we are putting from the prime contract.,open,Feedback: resolved; Audit: unproven,Needs verification,"Run focused browser verification on the named route and classify as verified fixed, not fixed, or deferred.",/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/commitment-change-orders/cco-detail-playwright-current.png,Commitment CCO audit notes,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/591,https://projects.alleatogroup.com/876/change-orders/commitment/aa35f3c3-5ec0-4568-b126-f8671b4791cc?scommentId=j6HqRSKobFDhjexI8XDo,
590,0c3124bf-fe72-42f1-9a26-ede738af4538,2026-07-01T03:42:12.694753+00:00,Not marked verified,resolved,medium,,Commitment Change Orders,/876/change-orders/commitment/aa35f3c3-5ec0-4568-b126-f8671b4791cc,http://localhost:3001/876/change-orders/commitment/aa35f3c3-5ec0-4568-b126-f8671b4791cc,Alleato AI - Project Management,I should be able to export this to PDF so I can send it to the sub for signature. I should also be able to email it to them from this screen as well.,I should be able to export this to PDF so I can send it to the sub for signature. I should also be able to email it to them from this screen as well.,open,Feedback: resolved; Audit: unproven; GitHub: CLOSED/COMPLETED,Needs verification,"Run focused browser verification on the named route and classify as verified fixed, not fixed, or deferred.",/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/commitment-change-orders/cco-detail-playwright-current.png,Commitment CCO audit notes,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/590,https://projects.alleatogroup.com/876/change-orders/commitment/aa35f3c3-5ec0-4568-b126-f8671b4791cc?scommentId=mi3N7qoNnYiAxVjPlOwG,
589,32c3b86a-aa1d-427e-8838-670c95b21aa4,2026-07-01T03:42:11.97648+00:00,Not marked verified,resolved,medium,,Commitment Change Orders,/876/change-orders/commitment/aa35f3c3-5ec0-4568-b126-f8671b4791cc,http://localhost:3001/876/change-orders/commitment/aa35f3c3-5ec0-4568-b126-f8671b4791cc,Alleato AI - Project Management,"This isn't even right if we were doing mark up, the calculations aren't there.","This isn't even right if we were doing mark up, the calculations aren't there.",open,Feedback: resolved; Audit: unproven,Needs verification,"Run focused browser verification on the named route and classify as verified fixed, not fixed, or deferred.",/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/commitment-change-orders/cco-detail-playwright-current.png,Commitment CCO audit notes,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/589,https://projects.alleatogroup.com/876/change-orders/commitment/aa35f3c3-5ec0-4568-b126-f8671b4791cc?scommentId=iACw885errh4cBfTis79,
588,b0e28d61-f77c-4134-9110-38d331c313b4,2026-07-01T03:42:11.239588+00:00,Not marked verified,resolved,medium,,Commitment Change Orders,/876/change-orders/commitment/aa35f3c3-5ec0-4568-b126-f8671b4791cc,http://localhost:3001/876/change-orders/commitment/aa35f3c3-5ec0-4568-b126-f8671b4791cc,Alleato AI - Project Management,I shouldn't be able to go in and add a line item to a CO that is in the approved status.,I shouldn't be able to go in and add a line item to a CO that is in the approved status.,open,Feedback: resolved; Audit: not fixed; GitHub: CLOSED/DUPLICATE,Not fixed,Move to fix loop or reopen; verify exact named route after repair.,/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/commitment-change-orders/cco-detail-playwright-current.png,Commitment CCO audit notes,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/588,https://projects.alleatogroup.com/876/change-orders/commitment/aa35f3c3-5ec0-4568-b126-f8671b4791cc?scommentId=w33evEzq5iaCVM5ub0AH,
587,8114980e-5629-410e-95af-69cfe457e4c1,2026-07-01T03:42:10.462963+00:00,Not marked verified,resolved,high,,Commitment Change Orders,/876/change-orders/commitment/aa35f3c3-5ec0-4568-b126-f8671b4791cc,http://localhost:3001/876/change-orders/commitment/aa35f3c3-5ec0-4568-b126-f8671b4791cc,Alleato AI - Project Management,"date is wrong, I approved it today, June 30th, 2026, requested can't come after created.","date is wrong, I approved it today, June 30th, 2026, requested can't come after created.",open,Feedback: resolved; Audit: unproven,Needs verification,"Run focused browser verification on the named route and classify as verified fixed, not fixed, or deferred.",/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/commitment-change-orders/cco-detail-playwright-current.png,Commitment CCO audit notes,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/587,https://projects.alleatogroup.com/876/change-orders/commitment/aa35f3c3-5ec0-4568-b126-f8671b4791cc?scommentId=YSUXb7ciZeVdw4OnN9su,
586,3287a97c-ca10-4cb0-b152-279e29767edc,2026-07-01T03:42:09.679673+00:00,Not marked verified,resolved,low,,Commitment Change Orders,/876/change-orders/commitment/aa35f3c3-5ec0-4568-b126-f8671b4791cc,http://localhost:3001/876/change-orders/commitment/aa35f3c3-5ec0-4568-b126-f8671b4791cc,Alleato AI - Project Management,"where is this populating from? CO CCO, Change Order Commitment Change Order?","where is this populating from? CO CCO, Change Order Commitment Change Order?",open,Feedback: resolved; Audit: unproven,Needs verification,"Run focused browser verification on the named route and classify as verified fixed, not fixed, or deferred.",/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/commitment-change-orders/cco-detail-playwright-current.png,Commitment CCO audit notes,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/586,https://projects.alleatogroup.com/876/change-orders/commitment/aa35f3c3-5ec0-4568-b126-f8671b4791cc?scommentId=VI5i1AYibilbjFB1GUgS,
585,45d5f5bf-c062-47bc-916b-c8d597a2c431,2026-07-01T03:42:08.868015+00:00,Not marked verified,resolved,low,,Commitments,/876/commitments/a0d9d40d-37c5-4739-872e-e5412cbc785b,http://localhost:3001/876/commitments/a0d9d40d-37c5-4739-872e-e5412cbc785b,000125 — 000125 - Project - Exol Morrisville,Why does this say create retainage invoice?,Why does this say create retainage invoice?,open,Feedback: resolved; Audit: unproven,Needs verification,"Run focused browser verification on the named route and classify as verified fixed, not fixed, or deferred.",/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/commitments/commitment-detail-playwright-current.png,Commitments audit notes,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/585,https://projects.alleatogroup.com/876/commitments/a0d9d40d-37c5-4739-872e-e5412cbc785b?scommentId=pHmhXljguxflY8U5z6IO,
584,e6b70cd9-a5c9-4a02-88fd-e86c1c15474b,2026-07-01T03:42:07.831268+00:00,Not marked verified,resolved,high,,Commitments,/876/commitments/a0d9d40d-37c5-4739-872e-e5412cbc785b,http://localhost:3001/876/commitments/a0d9d40d-37c5-4739-872e-e5412cbc785b,000125 — 000125 - Project - Exol Morrisville,make sure subs can't create change events.,make sure subs can't create change events.,open,Feedback: resolved; Audit: unproven,Needs verification,"Run focused browser verification on the named route and classify as verified fixed, not fixed, or deferred.",/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/commitments/commitment-detail-playwright-current.png,Commitments audit notes,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/584,https://projects.alleatogroup.com/876/commitments/a0d9d40d-37c5-4739-872e-e5412cbc785b?scommentId=CPDPG31INKeEnf9BPXAx,https://firebasestorage.googleapis.com/v0/b/snipply-sdk-prod-test/o/FrgDvrLSN1kXy31AiIur%2Forganizations%2F141ab3a12d44492b6b8df4843768f45a%2Fdocs%2F4366734777175419%2Fcomment%2FCPDPG31INKeEnf9BPXAx%2F465766_rPpk19x6RwjxothWvwuz.png?alt=media&token=9b92dcd9-8a2e-4b33-a970-a6cb6c394e11
