Reference Nbr.,Status,Class ID,Customer ID,Project ID,Description,Revenue Change Nbr.,Change Date,Approval Date,Customer Name,Revenue Budget Change Total,Gross Margin Amount,Created On
000687,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0021 - DEEM unable to get anyone on site to disconnect and reconnect the power to the site trailer so it could be moved. _x000A_Deduct CO to DEEM to cover the cost.,0106,7/14/2025,7/14/2025,CRAVING CREPES LLC,0.00,0.00,7/14/2025
000688,Closed,DEFAULT,CRAVING,24-115,"CCO-2403-0022 - Parking Lot Lime Stabilization 14"" @ 4%",0107,7/17/2025,7/17/2025,CRAVING CREPES LLC,0.00,0.00,7/17/2025
000692,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0023 - Credit for downsizing the OH doors from 10' to 8' tall,0111,7/17/2025,7/17/2025,CRAVING CREPES LLC,0.00,0.00,7/17/2025
000695,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0024 - Owner approved to paint the inside steel black,0112,7/21/2025,7/21/2025,CRAVING CREPES LLC,0.00,0.00,7/21/2025
000717,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0025,0113,7/24/2025,7/24/2025,CRAVING CREPES LLC,0.00,0.00,7/24/2025
000719,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0026 - Stone Access Road and Crane Pad,0114,7/24/2025,7/24/2025,CRAVING CREPES LLC,0.00,0.00,7/24/2025
000721,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0027 - Excavation and haul off of VB court spoils,0115,7/24/2025,7/24/2025,CRAVING CREPES LLC,0.00,0.00,7/24/2025
000728,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0028 - Concrete in VB Courts,0117,7/26/2025,7/26/2025,CRAVING CREPES LLC,0.00,0.00,7/25/2025
000729,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0029 - Shower plumbing and sand separator,0118,7/26/2025,7/26/2025,CRAVING CREPES LLC,0.00,0.00,7/25/2025
000745,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0030 - Scope gaps after prime contract,0132,7/30/2025,7/30/2025,CRAVING CREPES LLC,0.00,0.00,7/30/2025
