Reference Nbr.,Status,Class ID,Customer ID,Project ID,Description,Revenue Change Nbr.,Change Date,Approval Date,Customer Name,Revenue Budget Change Total,Gross Margin Amount,Created On
001486,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0252,12/1/2025,12/1/2025,iBeach Holding Partners LLC,0.00,0.00,12/1/2025
001485,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0251,12/1/2025,12/1/2025,iBeach Holding Partners LLC,0.00,0.00,12/1/2025
001484,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0250,12/1/2025,12/1/2025,iBeach Holding Partners LLC,0.00,0.00,12/1/2025
001483,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0249,12/1/2025,12/1/2025,iBeach Holding Partners LLC,0.00,0.00,12/1/2025
001482,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0248,12/1/2025,12/1/2025,iBeach Holding Partners LLC,0.00,0.00,12/1/2025
001481,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0247,12/1/2025,12/1/2025,iBeach Holding Partners LLC,0.00,0.00,12/1/2025
001480,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0246,12/1/2025,12/1/2025,iBeach Holding Partners LLC,0.00,0.00,12/1/2025
001479,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0245,12/1/2025,12/1/2025,iBeach Holding Partners LLC,0.00,0.00,12/1/2025
001478,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0244,12/1/2025,12/1/2025,iBeach Holding Partners LLC,0.00,0.00,12/1/2025
001477,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0243,12/1/2025,12/1/2025,iBeach Holding Partners LLC,0.00,0.00,12/1/2025
001476,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0242,12/1/2025,12/1/2025,iBeach Holding Partners LLC,0.00,0.00,12/1/2025
001475,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0241,12/1/2025,12/1/2025,iBeach Holding Partners LLC,0.00,0.00,12/1/2025
001474,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0240,12/1/2025,12/1/2025,iBeach Holding Partners LLC,0.00,0.00,12/1/2025
001473,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0239,12/1/2025,12/1/2025,iBeach Holding Partners LLC,0.00,0.00,12/1/2025
001472,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0238,12/1/2025,12/1/2025,iBeach Holding Partners LLC,0.00,0.00,12/1/2025
001471,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0237,12/1/2025,12/1/2025,iBeach Holding Partners LLC,0.00,0.00,12/1/2025
001470,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0236,12/1/2025,12/1/2025,iBeach Holding Partners LLC,0.00,0.00,12/1/2025
001469,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0235,12/1/2025,12/1/2025,iBeach Holding Partners LLC,0.00,0.00,12/1/2025
001255,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0169,10/7/2025,10/7/2025,iBeach Holding Partners LLC,0.00,0.00,10/7/2025
001254,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0168,10/7/2025,10/7/2025,iBeach Holding Partners LLC,0.00,0.00,10/7/2025
001253,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0167,10/7/2025,10/7/2025,iBeach Holding Partners LLC,0.00,0.00,10/7/2025
001252,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0166,10/7/2025,10/7/2025,iBeach Holding Partners LLC,0.00,0.00,10/7/2025
000825,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0140,8/21/2025,8/21/2025,iBeach Holding Partners LLC,0.00,0.00,8/21/2025
000824,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0139,8/21/2025,8/21/2025,iBeach Holding Partners LLC,0.00,0.00,8/21/2025
000823,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0138,8/21/2025,8/21/2025,iBeach Holding Partners LLC,0.00,0.00,8/21/2025
000790,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0135,8/11/2025,8/11/2025,iBeach Holding Partners LLC,0.00,0.00,8/11/2025
000575,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0063,6/22/2025,6/22/2025,iBeach Holding Partners LLC,0.00,0.00,6/22/2025
000574,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0062,6/22/2025,6/22/2025,iBeach Holding Partners LLC,0.00,0.00,6/22/2025
000573,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0061,6/22/2025,6/22/2025,iBeach Holding Partners LLC,0.00,0.00,6/22/2025
000572,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0060,6/22/2025,6/22/2025,iBeach Holding Partners LLC,0.00,0.00,6/22/2025
000571,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0059,6/22/2025,6/22/2025,iBeach Holding Partners LLC,0.00,0.00,6/22/2025
000501,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0052,5/28/2025,5/28/2025,iBeach Holding Partners LLC,0.00,0.00,5/28/2025
000500,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0051,5/28/2025,5/28/2025,iBeach Holding Partners LLC,0.00,0.00,5/28/2025
000499,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0050,5/28/2025,5/28/2025,iBeach Holding Partners LLC,0.00,0.00,5/28/2025
000498,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0049,5/28/2025,5/28/2025,iBeach Holding Partners LLC,0.00,0.00,5/28/2025
000497,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0048,5/28/2025,5/28/2025,iBeach Holding Partners LLC,0.00,0.00,5/28/2025
000496,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0047,5/28/2025,5/28/2025,iBeach Holding Partners LLC,0.00,0.00,5/28/2025
000495,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0046,5/28/2025,5/28/2025,iBeach Holding Partners LLC,0.00,0.00,5/28/2025
000489,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0045,5/19/2025,5/19/2025,iBeach Holding Partners LLC,0.00,0.00,5/19/2025
000482,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0043,5/13/2025,5/13/2025,iBeach Holding Partners LLC,0.00,0.00,5/13/2025
000481,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0042,5/13/2025,5/13/2025,iBeach Holding Partners LLC,0.00,0.00,5/13/2025
000464,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0036,5/6/2025,5/6/2025,iBeach Holding Partners LLC,0.00,0.00,5/6/2025
000463,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0035,5/6/2025,5/6/2025,iBeach Holding Partners LLC,0.00,0.00,5/6/2025
000462,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0034,5/6/2025,5/6/2025,iBeach Holding Partners LLC,0.00,0.00,5/6/2025
000461,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0033,5/6/2025,5/6/2025,iBeach Holding Partners LLC,0.00,0.00,5/6/2025
000460,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0032,5/6/2025,5/6/2025,iBeach Holding Partners LLC,0.00,0.00,5/6/2025
000459,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0031,5/6/2025,5/6/2025,iBeach Holding Partners LLC,0.00,0.00,5/6/2025
000458,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0030,5/6/2025,5/6/2025,iBeach Holding Partners LLC,0.00,0.00,5/6/2025
000457,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0029,5/6/2025,5/6/2025,iBeach Holding Partners LLC,0.00,0.00,5/6/2025
000456,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0028,5/6/2025,5/6/2025,iBeach Holding Partners LLC,0.00,0.00,5/6/2025
000455,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0027,5/6/2025,5/6/2025,iBeach Holding Partners LLC,0.00,0.00,5/6/2025
000454,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0026,5/6/2025,5/6/2025,iBeach Holding Partners LLC,0.00,0.00,5/6/2025
000453,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0025,5/6/2025,5/6/2025,iBeach Holding Partners LLC,0.00,0.00,5/6/2025
000452,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0024,5/6/2025,5/6/2025,iBeach Holding Partners LLC,0.00,0.00,5/6/2025
000451,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0023,5/6/2025,5/6/2025,iBeach Holding Partners LLC,0.00,0.00,5/6/2025
000450,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0022,5/6/2025,5/6/2025,iBeach Holding Partners LLC,0.00,0.00,5/6/2025
000449,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0021,5/6/2025,5/6/2025,iBeach Holding Partners LLC,0.00,0.00,5/6/2025
000448,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0020,5/6/2025,5/6/2025,iBeach Holding Partners LLC,0.00,0.00,5/6/2025
000447,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0019,5/6/2025,5/6/2025,iBeach Holding Partners LLC,0.00,0.00,5/6/2025
000446,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0018,5/6/2025,5/6/2025,iBeach Holding Partners LLC,0.00,0.00,5/6/2025
000445,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0017,5/6/2025,5/6/2025,iBeach Holding Partners LLC,0.00,0.00,5/6/2025
000444,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0016,5/6/2025,5/6/2025,iBeach Holding Partners LLC,0.00,0.00,5/6/2025
000443,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0015,5/6/2025,5/6/2025,iBeach Holding Partners LLC,0.00,0.00,5/6/2025
000442,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0014,5/6/2025,5/6/2025,iBeach Holding Partners LLC,0.00,0.00,5/6/2025
000441,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0013,5/6/2025,5/6/2025,iBeach Holding Partners LLC,0.00,0.00,5/6/2025
000440,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0012,5/6/2025,5/6/2025,iBeach Holding Partners LLC,0.00,0.00,5/6/2025
000439,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0011,5/6/2025,5/6/2025,iBeach Holding Partners LLC,0.00,0.00,5/6/2025
000438,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0010,5/6/2025,5/6/2025,iBeach Holding Partners LLC,0.00,0.00,5/6/2025
000437,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0009,5/6/2025,5/6/2025,iBeach Holding Partners LLC,0.00,0.00,5/6/2025
000436,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0008,5/6/2025,5/6/2025,iBeach Holding Partners LLC,0.00,0.00,5/6/2025
000261,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0005,3/17/2025,3/17/2025,iBeach Holding Partners LLC,0.00,0.00,3/17/2025
000260,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0004,3/17/2025,3/17/2025,iBeach Holding Partners LLC,0.00,0.00,3/17/2025
000259,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0003,3/17/2025,3/17/2025,iBeach Holding Partners LLC,0.00,0.00,3/17/2025
000258,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0002,3/17/2025,3/17/2025,iBeach Holding Partners LLC,0.00,0.00,3/17/2025
000257,On Hold,DEFAULT,IBEACH,24-115,Budget Modification,0001,3/17/2025,3/17/2025,iBeach Holding Partners LLC,0.00,0.00,3/17/2025
