Sub Job,Cost Code,Cost Type,Description,Manual Calculation,Unit Qty,UOM,Unit Cost,Budget Amount,Start Date,End Date,Curve
,"013120 - Vice President - Labor
",L,,,,,,"$12,189.00",,,
,"013126 - Pre-construction - Expense
",X,,,,,,"$49,356.00",,,
,"013126 - Pre-construction - Labor
",L,,,,,,"$6,581.00",,,
,"013127 - Sr. Project Manager - Labor
",L,,,,,,"$7,312.00",,,
,"013128 - Project Manager - Labor
",L,,,,,,"$6,094.00",,,
,"013130 - Project Engineer - Labor
",L,,,,,,"$54,847.00",,,
,"013132 - Intern - Labor
",L,,,,,,"$29,255.00",,,
,"013223 - Construction Layout - Expense
",X,,,,,,"$1,500.00",,,
,"013236 - Aerial & Periodic Drones - Expense
",X,,,,,,"$3,500.00",,,
,"013238 - Jobsite Security - Expense
",X,,,,,,"$3,500.00",,,
,"013245 - Office Supplies - Expense
",X,,,,,,$500.00,,,
,"013247 - Printing & Copying - Expense
",X,,,,,,"$5,000.00",,,
,"013249 - Postage & Courier - Expense
",X,,,,,,"$7,500.00",,,
,"014126 - Permit Requirements - Expense
",X,,,,,,$500.00,,,
,"015113 - Temporary Electric - Expense
",X,,,,,,"$5,000.00",,,
,"015119 - Temporary Fuel - Expense
",X,,,,,,"$1,500.00",,,
,"015133 - Temporary Internet/Telecomm - Expense
",X,,,,,,$500.00,,,
,"015213 - Field Offices - Expense
",X,,,,,,"$20,000.00",,,
,"015216 - First Aid / Safety Supplies - Expense
",X,,,,,,"$3,500.00",,,
,"015219 - Temporary Toilets - Expense
",X,,,,,,"$10,000.00",,,
,"015519 - Temporary Parking Areas - Expense
",X,,,,,,"$20,339.00",,,
,"015626 - Tempoary Fencing - Subcontract
",,,,,,,"$25,000.00",,,
,"015713 - Temporary Erosion and Sediment - Subcontract
",,,,,,,"$5,000.00",,,
,"015813 - Temporary Project Signage - Expense
",,,,,,,"$1,500.00",,,
,"016113 - Software Licensing - Expense
",,,,,,,"$10,000.00",,,
,"016500 - Travel & Entertainment - Expense
",,,,,,,"$1,000.00",,,
,"016502 - Truck Allowance - Expense
",,,,,,,"$15,000.00",,,
,"016503 - Truck Fuel - Expense
",,,,,,,"$9,000.00",,,
,"016505 - Marketing - Expense
",,,,,,,$200.00,,,
,"017123 - Construction Surveying - Subcontract
",,,,,,,"$10,000.00",,,
,"017333 - Misc Small Tools - Expense
",,,,,,,"$5,000.00",,,
