Sub Job,Sub Job Description,Cost Code,Cost Code Description,Cost Type,Cost Type Description,BLI UOM,BPQ UOM,BOOLEAN
,,00-000,Do Not Use,E,Equipment,days,ea,True
,,01-3120,Vice President,L,Labor,hours,ls,False
,,01-3126,Pre-construction,M,Material,months,lf,
,,01-3127,Sr. Project Manager,R,Contract Revenue,weeks,m,
,,01-3128,Project Manager,S,Subcontract,years,mm,
,,01-3129,Assistant Project Manager (APM),X,Expense,ea,m²,
,,01-3130,Project Engineer,,,ls,sf,
,,01-3131,Field Engineer,,,lf,sy,
,,01-3132,Intern,,,m,cy,
,,01-3142,General Superintendent,,,mm,m³,
,,01-3143,Sr. Superintendent,,,m²,kg,
,,01-3144,Superintendent,,,sf,lbs,
,,01-3145,Assistant Superintendent,,,sy,t,
,,01-3223,Construction Layout,,,cy,ton,
,,01-3236,Aerial & Periodic Drones,,,m³,,
,,01-3238,Jobsite Security,,,kg,,
,,01-3245,Office Supplies,,,lbs,,
,,01-3247,Printing & Copying,,,t,,
,,01-3249,Postage & Courier,,,ton,,
,,01-3329,LEED Documentation,,,,,
,,01-3514,Legal Fees,,,,,
,,01-4123,Fees,,,,,
,,01-4124,Sanitary Fees,,,,,
,,01-4126,Permit Requirements,,,,,
,,01-4523,Testing and Inspections,,,,,
,,01-4533,Municipality Inspections,,,,,
,,01-4613,Winter Conditions,,,,,
,,01-5113,Temporary Electric,,,,,
,,01-5116,Temporary Fire Protection,,,,,
,,01-5119,Temporary Fuel,,,,,
,,01-5123,Temporary HVAC,,,,,
,,01-5126,Temporary Lighting,,,,,
,,01-5129,Temporary Gas,,,,,
,,01-5133,Temporary Internet/Telecomm,,,,,
,,01-5136,Temporary Water,,,,,
,,01-5213,Field Offices,,,,,
,,01-5214,Temporary Storage,,,,,
,,01-5216,First Aid / Safety Supplies,,,,,
,,01-5217,Safety Inspections,,,,,
,,01-5219,Temporary Toilets,,,,,
,,01-5419,Temporary Cranes,,,,,
,,01-5423,Temp Scaffolding & Platforms,,,,,
,,01-5513,Temporary Access Roads,,,,,
,,01-5519,Temporary Parking Areas,,,,,
,,01-5623,Temporary Barricades,,,,,
,,01-5626,Tempoary Fencing,,,,,
,,01-5639,Temp Tree & Plant Protection,,,,,
,,01-5713,Temporary Erosion and Sediment,,,,,
,,01-5813,Temporary Project Signage,,,,,
,,01-6113,Software Licensing,,,,,
,,01-6115,Performance and Payment Bonds,,,,,
,,01-6119,Maintenenace Bond,,,,,
,,01-6500,Travel & Entertainment,,,,,
,,01-6501,Lunches,,,,,
,,01-6502,Truck Allowance,,,,,
,,01-6503,Truck Fuel,,,,,
,,01-6504,Recruitment,,,,,
,,01-6505,Marketing,,,,,
