Item No,Sub Job,Cost Code,Cost Type,Description Of Work,Scheduled Value,Work Completed: From Previous Application,Work Completed: This Period,Materials Presently Stored,Total Completed and Stored To Date,%,Balance To Finish,From Previous Application: Work Retainage $,From Previous Application: Materials Retainage $,From Previous Application: Total $,Retained This Period: Work Retainage %,Retained This Period: Work Retainage $,Retained This Period: Materials Retainage %,Retained This Period: Materials Retainage $,Released This Period: Work Retainage $,Released This Period: Materials Retainage $,Currently Retained: Work Retainage $,Currently Retained: Materials Retainage $,Total $
1,"",01,R,General Condtions,27605.0,0.0,12000.0,0.0,12000.0,43.47%,15605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"",02,R,,6000.0,0.0,6000.0,0.0,6000.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"",06,R,,1000.0,0.0,0.0,0.0,0.0,0.00%,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,"",07,R,,1000.0,0.0,0.0,0.0,0.0,0.00%,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"",08,R,,9870.0,0.0,0.0,0.0,0.0,0.00%,9870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"",09,R,,64374.0,0.0,33375.0,0.0,33375.0,51.85%,30999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"",10,R,,3750.0,0.0,1200.0,0.0,1200.0,32.00%,2550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"",21,R,,4000.0,0.0,4000.0,0.0,4000.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"",22,R,,2500.0,0.0,2500.0,0.0,2500.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,"",23,R,,7500.0,0.0,2700.0,0.0,2700.0,36.00%,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,"",26,R,,10000.0,0.0,10000.0,0.0,10000.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"",28,R,,4000.0,0.0,4000.0,0.0,4000.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,"",55-0050,R,,1770.0,0.0,1770.0,0.0,1770.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,"",55-0500,R,,14337.0,0.0,7049.59,0.0,7049.59,49.17%,7287.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"",02-4113,S,Added demolition and dumpsters phase 1,15092.0,0.0,15092.0,0.0,15092.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,"",09-2116,S,"Additional wall framing, drywall repair, remove ceilings not supported by walls",5126.0,0.0,0.0,0.0,0.0,0.00%,5126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,"",22-1000,S,"Additional demo & plug, move sink from existing restroom daycare area",1883.0,0.0,1883.0,0.0,1883.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"",01-4126,X,Permit fees Paid to City,1236.0,0.0,1236.0,0.0,1236.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,"",01-4126,X,Architect & Engineer Fees,5254.2,0.0,5254.2,0.0,5254.2,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
