Reference Nbr.,Status,Class ID,Customer ID,Project ID,Description,Revenue Change Nbr.,Change Date,Approval Date,Customer Name,Revenue Budget Change Total,Gross Margin Amount,Created On
000465,Closed,DEFAULT,IBEACH,24-115,1 - C/O for moving the elevator equipment room up to the 2nd floor,0037,5/6/2025,5/6/2025,iBeach Holding Partners LLC,0.00,0.00,5/7/2025
000471,Closed,DEFAULT,IBEACH,24-115,CCO-2403-0001 - All approved T&M tickets from April 2025,N/A,5/1/2025,5/1/2025,iBeach Holding Partners LLC,0.00,0.00,5/13/2025
000470,Open,DEFAULT,IBEACH,24-115,CCO-2403-0001 - All approved T&M tickets from April 2025,N/A,5/1/2025,5/1/2025,iBeach Holding Partners LLC,0.00,0.00,5/13/2025
000435,Closed,DEFAULT,IBEACH,24-115,CCO-2403-0001 - All approved T&M tickets from April 2025,0007,5/1/2025,5/1/2025,iBeach Holding Partners LLC,0.00,0.00,5/6/2025
000430,Closed,DEFAULT,IBEACH,24-115,CCO-2403-0001 - All approved T&M tickets from April 2025,0006,5/1/2025,5/1/2025,iBeach Holding Partners LLC,0.00,0.00,5/2/2025
000503,Closed,DEFAULT,IBEACH,24-115,"CCO-2403-0006 - Perimeter Trail was approved by Westfield to be installed in a single 3"" lift in lieu of the two lifts called for on the plans",0053,6/2/2025,6/2/2025,iBeach Holding Partners LLC,0.00,0.00,6/2/2025
000562,Closed,DEFAULT,IBEACH,24-115,"CCO-2403-0007 - Merritt had 2"" ISO priced.  Code required 3""",0055,6/11/2025,6/11/2025,iBeach Holding Partners LLC,0.00,0.00,6/11/2025
000564,Closed,DEFAULT,IBEACH,24-115,CCO-2403-0008 - Deduct C/O for removing the awning on the VB building,0056,6/13/2025,6/13/2025,iBeach Holding Partners LLC,0.00,0.00,6/13/2025
000570,Closed,DEFAULT,IBEACH,24-115,CCO-2403-0009 - Alleato decision to change mix to get a faster cure ahead of steel delivery,0058,6/22/2025,6/22/2025,iBeach Holding Partners LLC,0.00,0.00,6/22/2025
000582,Closed,DEFAULT,IBEACH,24-115,CCO-2403-0010 - As builts for regulated drain_x000A_Exhibit for gas encroachment.,0065,6/25/2025,6/25/2025,iBeach Holding Partners LLC,0.00,0.00,6/25/2025
000606,Closed,DEFAULT,IBEACH,24-115,CCO-2403-0011 - Grease Trap,0068,7/2/2025,7/2/2025,iBeach Holding Partners LLC,0.00,0.00,7/2/2025
000607,Closed,DEFAULT,IBEACH,24-115,CCO-2403-0012 - Add RCP end and tie into structure 612,0069,7/2/2025,7/2/2025,iBeach Holding Partners LLC,0.00,0.00,7/2/2025
000609,Closed,DEFAULT,IBEACH,24-115,CCO-2403-0013 - Additional plumbing for kitchens,0071,7/2/2025,7/2/2025,iBeach Holding Partners LLC,0.00,0.00,7/2/2025
000608,Closed,DEFAULT,IBEACH,24-115,CCO-2403-0014 - Additional power to kitchen spaces,0070,7/2/2025,7/2/2025,iBeach Holding Partners LLC,0.00,0.00,7/2/2025
000610,Closed,DEFAULT,IBEACH,24-115,CCO-2403-0015,0072,7/2/2025,7/2/2025,iBeach Holding Partners LLC,0.00,0.00,7/2/2025
000611,Closed,DEFAULT,IBEACH,24-115,CCO-2403-0016,0073,7/2/2025,7/2/2025,iBeach Holding Partners LLC,0.00,0.00,7/2/2025
000612,Closed,DEFAULT,IBEACH,24-115,CCO-2403-0017,0074,7/2/2025,7/2/2025,iBeach Holding Partners LLC,0.00,0.00,7/2/2025
000613,Closed,DEFAULT,IBEACH,24-115,CCO-2403-0018,0075,7/2/2025,7/2/2025,iBeach Holding Partners LLC,0.00,0.00,7/2/2025
000614,Closed,DEFAULT,IBEACH,24-115,CCO-2403-0019,0076,7/2/2025,7/2/2025,iBeach Holding Partners LLC,0.00,0.00,7/2/2025
000792,Closed,DEFAULT,IBEACH,24-115,CCO-2403-0032 - Westfield Dept of Public Works will build the perimeter trail starting from the ADA ramp on the West side of the Collective entrance all the way around to the end of the trail on Grand Park Blvd. when they do the traffic circle at the inter,0136,8/14/2025,8/14/2025,iBeach Holding Partners LLC,0.00,0.00,8/14/2025
000799,Closed,DEFAULT,IBEACH,24-115,CCO-2403-0033 - Deducts to Subcontract SC-2403-0004:_x000A_· Install (4) Bryant 10- ton RTU with curb_x000A_· Install (4) gas hanging heaters for volleyball area_x000A_· Install (4) T6 pro Honeywell thermostats_x000A_· Supply and install (8) 5- ton heat pumps and (8) 20KW heat pa,0137,8/18/2025,8/18/2025,iBeach Holding Partners LLC,0.00,0.00,8/18/2025
001041,Closed,DEFAULT,IBEACH,24-115,CCO-2403-0034 - City of Westfield requirement to cover Roof Top Units from view on 3 sides,0158,8/27/2025,8/27/2025,iBeach Holding Partners LLC,0.00,0.00,9/17/2025
001042,Closed,DEFAULT,IBEACH,24-115,CCO-2403-0036 - Added Stone For Drive and Crane Pad for Agg Piers,0159,8/28/2025,8/28/2025,iBeach Holding Partners LLC,0.00,0.00,9/18/2025
001123,Closed,DEFAULT,IBEACH,24-115,CCO-2403-0037 - Install (2 )BAF ceiling fans in the Volley Ball Courts,0162,8/28/2025,8/28/2025,iBeach Holding Partners LLC,0.00,0.00,9/24/2025
