"Title Number
","Contract
","Scope
","Status
","Cost
","Revenue
","Markup
","Tax
","Total
","Over/Under
"
"CR-2403-0025 R15 ISO at Foundation Perimeter
","PC-2403-0001
","Internal
","Void
","$4,304.00",$0.00,$0.00,$0.00,$0.00,"-$4,304.00"
"CR-2403-0028 Mechanical Screens
","PC-2403-0001
","Owner Change
","Approved
",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
"CR-2403-0023 Additional Surveying
","PC-2403-0001
","Owner Change
","Approved
","$1,650.00","$2,500.00",$284.00,$0.00,"$2,784.00","$1,134.00"
"CR-2403-0024 Lime Stabilization
","PC-2403-0001
","Owner Change
","Void
","$80,438.00","$80,438.00","$9,150.00",$0.00,"$89,587.00","$9,150.00"
"CR-2403-0026 DGI Interior Design Additions
","PC-2403-0001
","Owner Change
","Approved
","$682,752.00","$759,500.00","$86,393.00",$0.00,"$845,893.00","$163,141.00"
"CR-2403-0046 FO Box Relocation
","PC-2403-0001
","Internal
","Approved
","$29,334.00",$0.00,$0.00,$0.00,$0.00,"-$29,334.00"
"CR-2403-0096 True Step: Canceled CO #1 Partitions: Detailing Charge Only
","PC-2403-0001
","Internal
","Draft
",$578.00,$0.00,$0.00,$0.00,$0.00,-$578.00
"CR-2403-0018 Damn Good Interiors Design 
","PC-2403-0001
","Owner Change
","Approved
","$16,066.00","$8,032.00",$914.00,$0.00,"$8,946.00","-$7,120.00"
"CR-2403-0004 Vacation and Reconstruction of Existing Drain Tile
","PC-2403-0001
","Owner Change
","Approved
","$15,723.00","$15,723.00","$1,788.00",$0.00,"$17,511.00","$1,788.00"
"CR-2403-0002 Secondary Plat Services
","PC-2403-0001
","Owner Change
","Approved
","$3,500.00","$3,500.00",$398.00,$0.00,"$3,898.00",$398.00
"CR-2403-0015 United Excavating T&M Tickets
","PC-2403-0001
","Owner Change
","Approved
","$19,612.00","$15,723.00","$1,788.00",$0.00,"$17,511.00","-$2,101.00"
"CR-2403-0016 Elevator Equipment Room Relocation
","PC-2403-0001
","Internal
","Approved
","$2,260.00",$0.00,$0.00,$0.00,$0.00,"-$2,260.00"
"CR-2403-0012 Add Structure 612
","PC-2403-0001
","Internal
","Approved
","$3,932.00",$0.00,$0.00,$0.00,$0.00,"-$3,932.00"
"CR-2403-0005 Removal of Additional Concrete Foundations
","PC-2403-0001
","Internal
","Approved
","$3,889.00",$0.00,$0.00,$0.00,$0.00,"-$3,889.00"
"CR-2403-0019 Center Point Energy Encroachment Application
","PC-2403-0001
","Owner Change
","Approved
","$1,300.00","$1,300.00",$148.00,$0.00,"$1,448.00",$148.00
"CR-2403-0008 Add Kitchen Design and Buildout
","PC-2403-0001
","Owner Change
","Approved
","$303,365.00","$303,365.00","$34,508.00",$0.00,"$337,873.00","$34,508.00"
"CR-2403-0006 ROW Scope Increase From City
","PC-2403-0001
","Owner Change
","Approved
","$10,856.00","$20,856.00","$2,372.00",$0.00,"$23,228.00","$12,372.00"
"CR-2403-0010 Deduct To Split Buildings
","PC-2403-0001
","Owner Change
","Approved
","-$1,600,000.00","-$1,600,000.00","-$182,000.00",$0.00,"-$1,782,000.00","-$182,000.00"
"CR-2403-0007 Site Work Adds From City Review
","PC-2403-0001
","Owner Change
","Approved
","$15,349.00","$21,349.00","$2,428.00",$0.00,"$23,777.00","$8,428.00"
"CR-2403-0047 Site Work Contingencies 
","PC-2403-0001
","Owner Change
","Approved
",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
"CR-2403-0021 Trail Pavement Section Credit
","PC-2403-0001
","Internal
","Approved
","-$3,321.00",$0.00,$0.00,$0.00,$0.00,"$3,321.00"
"CR-2403-0020 IBeach Logistics Adds
","PC-2403-0004
","Owner Change
","Approved
","$2,378.00","$2,378.00",$271.00,$0.00,"$2,649.00",$271.00
"CR-2403-0027 Awning Deduct
","PC-2403-0001
","Internal
","Approved
","-$5,460.00",$0.00,$0.00,$0.00,$0.00,"$5,460.00"
"CR-2403-0032 Add Volley Ball Court Bathrooms
","PC-2403-0004
","Owner Change
","Approved
","$89,913.00","$93,443.00","$10,629.00",$0.00,"$104,072.00","$14,159.00"
"CR-2403-0030 Foundation Fast Cure Mix
","PC-2403-0001
","Internal
","Void
","$6,265.00",$0.00,$0.00,$0.00,$0.00,"-$6,265.00"
"CR-2403-0031 Merritt- Additional Stone 
","PC-2403-0001
","Internal
","Approved
","$7,286.00",$0.00,$0.00,$0.00,$0.00,"-$7,286.00"
"CR-2403-0033 Concrete in VB Courts
","PC-2403-0004
","Owner Change
","Approved
","$48,016.00","$50,000.00","$5,688.00",$0.00,"$55,688.00","$7,672.00"
"CR-2403-0034 VB Spoils Export
","PC-2403-0004
","Internal
","Approved
","$23,579.00",$0.00,$0.00,$0.00,$0.00,"-$23,579.00"
"CR-2403-0106 Casework Concepts Deducts
","PC-2403-0001
","Internal
","Approved
","-$9,728.00",$0.00,$0.00,$0.00,$0.00,"$9,728.00"
"CR-2403-0036 Deduct For Trailer Power Reconnection
","PC-2403-0001
","Internal
","Approved
","-$1,545.00",$0.00,$0.00,$0.00,$0.00,"$1,545.00"
"CR-2403-0037 OH Doors Deduct
","PC-2403-0001
","Internal
","Approved
","-$2,532.00",$0.00,$0.00,$0.00,$0.00,"$2,532.00"
"CR-2403-0038 Electrical Design Shortages
","PC-2403-0001
","Internal
","Approved
","$34,150.00",$0.00,$0.00,$0.00,$0.00,"-$34,150.00"
"CR-2403-0039 Added Stone For Drive and Crane Pad for Agg Piers
","PC-2403-0001
","Internal
","Approved
","$20,160.00",$0.00,$0.00,$0.00,$0.00,"-$20,160.00"
"CR-2403-0040 Concrete Patio Addition
","PC-2403-0004
","Owner Change
","Approved
","$63,037.00","$72,500.00","$8,247.00",$0.00,"$80,747.00","$17,710.00"
"CR-2403-0041 Concrete Contingency
","PC-2403-0001
","Owner Change
","Approved
","$10,569.00",$0.00,$0.00,$0.00,$0.00,"-$10,569.00"
"CR-2403-0003 Permits and Inspections
","PC-2403-0001
","Owner Change
","Approved
","$37,897.00","$37,897.00","$4,311.00",$0.00,"$42,208.00","$4,311.00"
"CR-2403-0044 LeMaster Items Left Off Subcontract
","PC-2403-0001
","Internal
","Approved
","$103,500.00",$0.00,$0.00,$0.00,$0.00,"-$103,500.00"
"CR-2403-0043 Perimeter Trail Deduct From DPW
","PC-2403-0001
","Internal
","Approved
","-$34,692.00",$0.00,$0.00,$0.00,$0.00,"$34,692.00"
"CR-2403-0098 True Step CO #7 Rail Post Design Change
","PC-2403-0001
","Internal
","Approved
","$26,880.00",$0.00,$0.00,$0.00,$0.00,"-$26,880.00"
"CR-2403-0042 HVAC Deduct to FITE
","PC-2403-0001
","Internal
","Approved
","-$201,000.00",$0.00,$0.00,$0.00,$0.00,"$201,000.00"
"CR-2403-0099 Euro Plastering Winter Conditions
","PC-2403-0001
","Internal
","Approved
","$5,000.00",$0.00,$0.00,$0.00,$0.00,"-$5,000.00"
"CR-2403-0045 Big Ass Fans
","PC-2403-0004
","Internal
","Approved
","$25,854.00",$0.00,$0.00,$0.00,$0.00,"-$25,854.00"
"CR-2403-0108 8 Added Feminine Hygiene Waste Baskets
","PC-2403-0001
","Internal
","Approved
",$353.00,$0.00,$0.00,$0.00,$0.00,-$353.00
"CR-2403-0100 Remove and Reinstall Windows and Store Fronts due to vapor barrier 
","PC-2403-0001
","Internal
","Approved
","$4,850.00",$0.00,$0.00,$0.00,$0.00,"-$4,850.00"
"CR-2403-0051 Tracked Equipment Rental
","PC-2403-0001
","Internal
","Approved
","$3,623.00",$0.00,$0.00,$0.00,$0.00,"-$3,623.00"
"CR-2403-0101 S&M Painting, painting all MEPs in ceiling, dryfall paint, add for painting sound spray
","PC-2403-0001
","Internal
","Approved
","$21,692.00",$0.00,$0.00,$0.00,$0.00,"-$21,692.00"
CR-2403-0050 Access Panels At Beer Wall,PC-2403-0001,Owner Change,Approved,"$1,650.00","$2,500.00",$284.00,$0.00,"$2,784.00","$1,134.00"
CR-2403-0102 Added Piping for new kitchen & Updated Beer Chase,PC-2403-0001,Owner Change,Draft,"$23,018.00","$23,018.00","$2,618.00",$0.00,"$25,636.00","$2,618.00"
"CR-2403-0109 Sand and Seal Vendor Kitchens, Bars, Ice Cream Shop, and Commissary",PC-2403-0001,Owner Change,Rejected,"$17,800.00","$17,800.00","$2,025.00",$0.00,"$19,825.00","$2,025.00"
"CR-2403-0118 S&M CO #5, painting SSB trim, ",PC-2403-0001,Internal,Draft,"$2,250.00",$0.00,$0.00,$0.00,$0.00,"-$2,250.00"
CR-2403-0103 SSB Added Install Labor,PC-2403-0001,Internal,Void,"$1,900.00",$0.00,$0.00,$0.00,$0.00,"-$1,900.00"
CR-2403-0117 Added HVAC work in Elevator Mechanical Room,PC-2403-0001,Internal,Approved,"$2,630.00",$0.00,$0.00,$0.00,$0.00,"-$2,630.00"
CR-2403-0104 LeMaster December Extra Labor Costs,PC-2403-0001,Internal,Draft,$200.00,$0.00,$0.00,$0.00,$0.00,-$200.00
CR-2403-0110 DGI Design Change: Coffee/ Bourbon Bar,PC-2403-0001,Owner Change,Approved,$955.00,$955.00,$109.00,$0.00,"$1,064.00",$109.00
CR-2403-0114 2nd Floor Patio wood board extension,PC-2403-0001,Owner Change,Rejected,"$14,261.00","$16,711.00","$1,901.00",$0.00,"$18,612.00","$4,351.00"
CR-2403-0105 LeMaster January Extra Labor Costs,PC-2403-0001,Internal,Approved,"$2,914.00",$0.00,$0.00,$0.00,$0.00,"-$2,914.00"
CR-2403-0052 Added Downspouts and Underdrains,PC-2403-0001,Internal,Approved,"$5,720.00",$0.00,$0.00,$0.00,$0.00,"-$5,720.00"
CR-2403-0048 ROW Undercutting,PC-2403-0001,Internal,In Review,"$24,050.00",$0.00,$0.00,$0.00,$0.00,"-$24,050.00"
CR-2403-0053 Re-Prep SOG,PC-2403-0001,Internal,Approved,"$16,500.00",$0.00,$0.00,$0.00,$0.00,"-$16,500.00"
CR-2403-0054 Fiber Optic Box Relocation,PC-2403-0001,Owner Change,Approved,"$29,334.00","$29,334.00","$3,337.00",$0.00,"$32,670.00","$3,337.00"
CR-2403-0107 Added Booster for Dishwasher,PC-2403-0001,Owner Change,Rejected,"$5,299.00","$5,799.00",$660.00,$0.00,"$6,458.00","$1,160.00"
CR-2403-0055 Final Permit and Inspection Fees,PC-2403-0001,Owner Change,Draft,"$1,882.00","$1,882.00",$214.00,$0.00,"$2,096.00",$214.00
CR-2403-0056 November Design Adds,PC-2403-0001,Owner Change,Approved,"$208,483.00","$233,390.00","$26,548.00",$0.00,"$259,938.00","$51,455.00"
CR-2403-0057 December Design Adds,PC-2403-0001,Owner Change,Approved,"$223,523.00","$247,500.00","$28,153.00",$0.00,"$275,653.00","$52,130.00"
CR-2403-0059 RTU Curb Reinforcement for Screens,PC-2403-0001,Internal,Approved,"$17,610.00",$0.00,$0.00,$0.00,$0.00,"-$17,610.00"
CR-2403-0060 LeMaster Tickets,PC-2403-0001,Internal,Approved,"$1,783.00",$0.00,$0.00,$0.00,$0.00,"-$1,783.00"
CR-2403-0061 Added Commissary Access door EX111A,PC-2403-0001,Owner Change,Approved,"$2,852.00","$3,402.00",$387.00,$0.00,"$3,789.00",$937.00
CR-2403-0062 Overtime work ,PC-2403-0001,Internal,Approved,"$1,320.00",$0.00,$0.00,$0.00,$0.00,"-$1,320.00"
CR-2403-0063 Deduct ceramic Floor tile around bar 1st and 2nd floor,PC-2403-0001,Owner Change,Approved,"-$7,200.00","-$7,200.00",-$819.00,$0.00,"-$8,019.00",-$819.00
"CR-2403-0064 Deduct storefront windows from 6'4"" to 6'0""",PC-2403-0001,Internal,Draft,"$1,915.00",$0.00,$0.00,$0.00,$0.00,"-$1,915.00"
CR-2403-0065 Demo Curb Walk Combo at Dumpster,PC-2403-0001,Internal,Draft,"$2,270.00",$0.00,$0.00,$0.00,$0.00,"-$2,270.00"
CR-2403-0066 HVAC Design Change after site walk with Brandon,PC-2403-0001,Internal,Draft,"$23,650.00",$0.00,$0.00,$0.00,$0.00,"-$23,650.00"
CR-2403-0075 Ceiling tile VE option credit and Frame between existing building girts and tyvek in two areas,PC-2403-0001,Internal,Draft,"-$4,080.00",$0.00,$0.00,$0.00,$0.00,"$4,080.00"
CR-2403-0077 Monument Sign Deduct ,PC-2403-0001,Owner Change,Approved,"-$1,646.00","-$1,646.00",-$187.00,$0.00,"-$1,833.00",-$187.00
CR-2403-0089 Cut Down Frames on 2nd Floor West Elevation,PC-2403-0001,Internal,Approved,"$3,185.00",$0.00,$0.00,$0.00,$0.00,"-$3,185.00"
CR-2403-0078 Added sidewalk from North volleyball patio to dumpster sidewalk,PC-2403-0001,Owner Change,Approved,"$1,650.00","$1,650.00",$188.00,$0.00,"$1,838.00",$188.00
