"Direct Costs Export - 02/27/2026 11:32 AM
",,,,,
"Project: 24-115 Westfield Collective - Westfield, IN
",,,,,
"Created
","Status
","Type
","Description
","Vendor
","Amount
"
"05/09/2025 09:46 AM
","Approved
","Expense
","REPRO GRAPHIX, INC
","
",$93.24
"05/09/2025 09:47 AM
","Approved
","Expense
","LOWES #01525*
","
",$81.47
"05/09/2025 09:47 AM
","Approved
","Expense
","TST* FORK ALE HOUSE
","
",$69.57
"05/09/2025 09:47 AM
","Approved
","Expense
","LOWES #01525*
","
",$64.95
"05/09/2025 09:47 AM
","Approved
","Expense
","FAMILY EXPRESS #77
","
",$62.70
"05/09/2025 09:47 AM
","Approved
","Expense
","SPEEDWAY 06882 740 EAST S
","
",$60.50
"05/09/2025 09:48 AM
","Approved
","Expense
","SPEEDWAY 06882 740 EAST S
","
",$60.38
"05/09/2025 09:48 AM
","Approved
","Expense
","SPEEDWAY 06882 740 EAST S
","
",$57.91
"05/09/2025 09:48 AM
","Approved
","Expense
","SPEEDWAY 06882 740 EAST S
","
",$57.50
"05/09/2025 09:48 AM
","Approved
","Expense
","SPEEDWAY 06882 740 EAST S
","
",$57.15
"05/09/2025 09:31 AM
","Approved
","Expense
","REPRO GRAPHIX, INC
","
",$667.18
"05/09/2025 09:46 AM
","Approved
","Expense
","A CLASSIC PARTY RENTAL
","
",$404.33
"05/09/2025 09:30 AM
","Approved
","Expense
","WESTFIELD CUST SERVICE
","
","$4,959.45"
"05/09/2025 09:30 AM
","Approved
","Expense
","REPRO GRAPHIX, INC
","
","$1,237.99"
"05/09/2025 09:31 AM
","Approved
","Expense
","A CLASSIC PARTY RENTAL
","
","$1,212.98"
"05/09/2025 09:46 AM
","Approved
","Expense
","MENARDS CARMEL IN
","
",$312.42
"05/09/2025 09:48 AM
","Approved
","Expense
","LOWES #01525*
","
",$52.01
"05/09/2025 09:53 AM
","Approved
","Expense
","COSTCO GAS #0347
","
",$50.07
"05/09/2025 09:53 AM
","Approved
","Expense
","LOWES #01525*
","
",$49.69
"05/09/2025 09:53 AM
","Approved
","Expense
","AMAZON MARK* OI7PJ7LJ3
","
",$45.46
"05/09/2025 09:53 AM
","Approved
","Expense
","COSTCO GAS #1666
","
",$45.00
"05/09/2025 09:53 AM
","Approved
","Expense
","LOWES #01525*
","
",$44.85
"05/09/2025 09:54 AM
","Approved
","Expense
","LOWES #01525*
","
",$38.37
"05/09/2025 09:54 AM
","Approved
","Expense
","LOWES #01525*
","
",$31.61
"05/09/2025 09:54 AM
","Approved
","Expense
","LOWES #01525*
","
",$30.97
"05/09/2025 09:54 AM
","Approved
","Expense
","LOWES #01525*
","
",$28.91
"05/09/2025 09:54 AM
","Approved
","Expense
","LARIMER COMBIND CRT FTC
","
",$23.50
"05/09/2025 09:54 AM
","Approved
","Expense
","BESTBUYCOM807031236098
","
",$21.39
"05/09/2025 09:54 AM
","Approved
","Expense
","LOWES #01525*
","
",$19.20
"05/09/2025 09:54 AM
","Approved
","Expense
","LOWES #01525*
","
",$11.75
"05/09/2025 09:54 AM
","Approved
","Expense
","LOWES #01525*
","
",$11.19
"05/13/2025 03:19 PM
","Approved
","Expense
","A CLASSIC PARTY RENTAL
","
","-$1,212.98"
"05/13/2025 03:22 PM
","Approved
","Expense
","A CLASSIC PARTY RENTAL
","
",-$404.33
"05/13/2025 03:23 PM
","Approved
","Expense
","A CLASSIC PARTY RENTAL
","
",$404.33
"05/14/2025 02:01 PM
","Approved
","Expense
","PAYPAL *TTCPEXPRESS
","
",-$150.00
"05/14/2025 02:02 PM
","Approved
","Expense
","PAYPAL *TTCPEXPRESS
","
",$150.00
"05/15/2025 08:50 AM
","Approved
","Expense
","RACETRAC508   00005082
","
",$20.18
"05/20/2025 08:46 AM
","Approved
","Expense
","MCALISTER'S 1396
","
",$71.11
"05/20/2025 08:46 AM
","Approved
","Expense
","ADOBE  *ADOBE
","
",$64.19
"05/20/2025 08:51 AM
","Approved
","Expense
","USPS PO 1712760814
","
",$12.65
"05/20/2025 08:52 AM
","Approved
","Expense
","CIRCLE K 02363
","
",$55.07
"05/20/2025 08:52 AM
","Approved
","Expense
","OPENAI *CHATGPT SUBSCR
","
",$120.00
