Item Number,Title,Assigned To,Priority,Due Date,Category,Status,Location
019,2nd floor beer wall,Alleato Group,Low,02/25/2026,,Assigned,2nd floor beer wall
102,Install vapor barrier in woman's restroom,Alleato Group,Medium,02/13/2026,,Assigned,
103,Install insulation in woman's and men's restroom,Alleato Group,Medium,02/11/2026,,Assigned,volleyball men's and woman's restroom
128,Hole In The Wall (Spectrum),Alleato Group,Medium,,Owner,Assigned,2nd Floor South West Wall
142,Cap Ends On Roll Up Doors,Alleato Group,Low,,,Assigned,2nd Story West Dining
146,Spectrum Hole,Alleato Group,Low,,,Assigned,
161,Aluminum On Threash Hold,Alleato Group,Low,02/12/2026,,Assigned,East Dining
165,Install Elevator Flooring,Alleato Group,High,02/13/2026,,Assigned,Elevator
169,Spectrum Wire (Mike),Alleato Group,Medium,02/11/2026,,Assigned,2nd Floor West Patio
192,AV Boxes Incomplete,Alleato Group,Medium,02/13/2026,,Assigned,Exposed 2nd Floor Patio
195,Cap Anchor Bolts,Alleato Group,Medium,02/12/2026,,Assigned,Down Stairs Porch
046,Casework,Casework Concepts LLC,Medium,02/10/2026,,Assigned,2nd floor West Dining Area
048,Casework and electrical hookup,Casework Concepts LLC,Medium,02/13/2026,,Assigned,Beer wall/ Common area
054,Install toe kicks,Casework Concepts LLC,Low,02/06/2026,,Assigned,Beer wall/ Common area
065,Finish casework,Casework Concepts LLC,Medium,02/13/2026,,Assigned,Dining area
068,Case work,Casework Concepts LLC,Medium,02/11/2026,,Assigned,Family Room
083,Finish casework and trim,Casework Concepts LLC,Medium,02/10/2026,,Assigned,hostess stand
088,Case work,Casework Concepts LLC,Medium,02/10/2026,,Assigned,2nd floor East Dining Area
127,Toe Kick Missing,Casework Concepts LLC,Low,,,Assigned,West 2nd Floor Dining
130,Wood Shelf’s,Casework Concepts LLC,High,02/11/2026,Casework,Assigned,Next To Second Floor Pvt Room
150,Complete Casework 2nd Floor North Seating,Casework Concepts LLC,Medium,02/12/2026,,Assigned,North Second Floor
155,East Dining Area Adhesive Brackets,Casework Concepts LLC,Low,,,Assigned,East Dining
157,Replicate Other Case Work In This Area,Casework Concepts LLC,Medium,02/13/2026,,Assigned,East Dining
157,Replicate Other Case Work In This Area,Casework Concepts LLC,Medium,02/13/2026,,Assigned,East Dining
159,Replicate Other Case Work In This Area,Casework Concepts LLC,Medium,02/13/2026,,Assigned,East Dining
162,Add Adhesive For Shelf’s,Casework Concepts LLC,High,,,Assigned,All Shelf Locations
168,Complete 2nd Floor Landing Casework By Fireplace Wall,Casework Concepts LLC,Medium,02/11/2026,,Assigned,
100,Finish caulking on doors,Caulking Specialists,Medium,02/10/2026,,Assigned,VB
109,Finishing caulking the top of the tile,Caulking Specialists,Low,02/11/2026,,Assigned,volleyball men's and woman's restroom
112,Exact same as A,Caulking Specialists,Medium,02/12/2026,,Assigned,vendor B
113,Same as A,Caulking Specialists,Medium,02/12/2026,,Assigned,Vendor C
114,Exact same as A,Caulking Specialists,Medium,02/12/2026,,Assigned,Vendor D
115,exact as vendor A,Caulking Specialists,Medium,02/12/2026,,Assigned,vendor E
137,,Caulking Specialists,Low,,,Assigned,2 Floor Dining West
145,Caulk Bottom Of Tile,Caulking Specialists,Low,02/12/2026,,Assigned,2nd Floor Dining
153,Caulk Around All Door Jambs,Caulking Specialists,Low,,,Assigned,
170,West Side Porch Caulking,Caulking Specialists,Medium,02/13/2026,,Assigned,West Side Porch
022,Patch Electrical holes,"Deem, LLC",Medium,02/06/2026,,Assigned,2nd floor beer wall
026,Fire alarm devices,"Deem, LLC",Medium,02/09/2026,,Assigned,2nd floor beer wall
033,2nd floor bar rope lighting,"Deem, LLC",Medium,02/10/2026,,Assigned,2nd floor bar
039,Conduit on North wall,"Deem, LLC",Medium,02/10/2026,,Assigned,2nd floor bar
055,Switch device,"Deem, LLC",Medium,02/10/2026,,Assigned,Private Room
